703532705	20161103	201611	2016	2016.8301											UKRGOV	UKRAINE	UKR					GOV			1	057	057	05	1	8.0	10	1	10	5.59440559440559	0								1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	20171103071500	http://www.dubaicityguide.com/site/features/index.asp?id=9408
703532706	20161103	201611	2016	2016.8301	BUSGOV	COMPANY						BUS	GOV												1	013	013	01	1	0.4	10	1	10	0.264550264550266	3	Watertown, Florida, United States	US	USFL	FL023	30.1925	-82.6146	306564	0								3	Watertown, Florida, United States	US	USFL	FL023	30.1925	-82.6146	306564	20171103071500	http://www.watertowndailytimes.com/news03/hi-lite-to-bring-corporate-headquarters-40-new-jobs-to-sackets-harbor-20171103
703532707	20161103	201611	2016	2016.8301	BUSGOV	COMPANY						BUS	GOV		BUS	COMPANY						BUS			1	013	013	01	1	0.4	4	1	4	0.264550264550266	3	Watertown, Florida, United States	US	USFL	FL023	30.1925	-82.6146	306564	3	Watertown, Florida, United States	US	USFL	FL023	30.1925	-82.6146	306564	3	Watertown, Florida, United States	US	USFL	FL023	30.1925	-82.6146	306564	20171103071500	http://www.watertowndailytimes.com/news03/hi-lite-to-bring-corporate-headquarters-40-new-jobs-to-sackets-harbor-20171103
703532708	20161103	201611	2016	2016.8301	BUSGOV	COMPANY						BUS	GOV		BUS	COMPANY						BUS			1	013	013	01	1	0.4	6	1	6	0.264550264550266	1	United Arab Emirates	AE	AE		24	54	AE	1	United Arab Emirates	AE	AE		24	54	AE	1	United Arab Emirates	AE	AE		24	54	AE	20171103071500	http://www.watertowndailytimes.com/news03/hi-lite-to-bring-corporate-headquarters-40-new-jobs-to-sackets-harbor-20171103
703532709	20161103	201611	2016	2016.8301	KAZ	KAZAKHSTAN	KAZ																		1	057	057	05	1	8.0	5	1	5	3.2520325203252	1	Hong Kong	HK	HK		22.25	114.166667	HK	0								1	Hong Kong	HK	HK		22.25	114.166667	HK	20171103071500	http://www.info.gov.hk/gia/general/201711/03/P2017110300578.htm
703532710	20161103	201611	2016	2016.8301	LEG	SENATOR						LEG													0	071	071	07	2	7.4	4	1	4	1.3986013986014	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	0								2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	20171103071500	https://www.ktbs.com/news/arklatex-politics/shreveport-students-and-school-faculty-discuss-the-future-of-higher/article_626cc58e-c038-11e7-a301-f3e6fa8254d8.html
703532711	20161103	201611	2016	2016.8301	OPP	HUMAN RIGHTS ACTIVIST						OPP			RUSJUD	RUSSIAN	RUS					JUD			0	010	010	01	1	0.0	3	1	3	-3.07362401715511	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20171103071500	https://yated.com/russia-conspiracy-exposed-clinton-democrat-plot/
703532712	20161103	201611	2016	2016.8301	UKRGOV	UKRAINE	UKR					GOV													1	057	057	05	1	8.0	10	1	10	5.59440559440559	1	Ukraine	UP	UP		49	32	UP	0								1	Ukraine	UP	UP		49	32	UP	20171103071500	http://www.dubaicityguide.com/site/features/index.asp?id=9408
703532713	20161103	201611	2016	2016.8301	USALEG	UNITED STATES	USA					LEG													0	071	071	07	2	7.4	1	1	1	1.3986013986014	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	0								2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	20171103071500	https://www.ktbs.com/news/arklatex-politics/shreveport-students-and-school-faculty-discuss-the-future-of-higher/article_626cc58e-c038-11e7-a301-f3e6fa8254d8.html
703532714	20171004	201710	2017	2017.7507	GOV	GOVERNMENT OFFICIAL						GOV			MED	MEDIA						MED			0	112	112	11	3	-2.0	4	1	4	-3.07362401715511	1	United Kingdom	UK	UK		54	-4	UK	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	1	United Kingdom	UK	UK		54	-4	UK	20171103071500	https://yated.com/russia-conspiracy-exposed-clinton-democrat-plot/
