705119330	20161108	201611	2016	2016.8438											USA	UNITED STATES	USA								1	112	112	11	3	-2.0	3	3	3	-9.88505747126436	0								2	Mississippi, United States	US	USMS		32.7673	-89.6812	MS	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20171108214500	http://www.mysanantonio.com/news/crime/article/Murder-suspect-who-escaped-jail-placed-on-most-12342346.php
705119331	20161108	201611	2016	2016.8438	CVL	VOTER						CVL			USA	FLORIDA	USA								1	120	120	12	3	-4.0	7	1	7	-1.69971671388102	1	Brazil	BR	BR		-10	-55	BR	1	Brazil	BR	BR		-10	-55	BR	1	Brazil	BR	BR		-10	-55	BR	20171108214500	https://sputniknews.com/science/201711091058935289-latest-buzz-epa-lab-grown-mosquitoes-kill-wild-mosquitoes/
705119332	20161108	201611	2016	2016.8438	CVL	VOTER						CVL			USA	FLORIDA	USA								1	120	120	12	3	-4.0	1	1	1	-1.69971671388102	1	Brazil	BR	BR		-10	-55	BR	1	Brazil	BR	BR		-10	-55	BR	1	Cayman Islands	CJ	CJ		19.5	-80.666667	CJ	20171108214500	https://sputniknews.com/science/201711091058935289-latest-buzz-epa-lab-grown-mosquitoes-kill-wild-mosquitoes/
705119333	20161108	201611	2016	2016.8438	EDU	SCHOLAR						EDU			PTY	POLITICIAN									1	111	111	11	3	-2.0	10	1	10	-1.21107266435986	2	Texas, United States	US	USTX		31.106	-97.6475	TX	1	Mexico	MX	MX		23	-102	MX	1	Mexico	MX	MX		23	-102	MX	20171108214500	http://www.statesman.com/news/state--regional-govt--politics/another-mexican-american-studies-textbook-tentatively-rejected/L9UQN2IvqJ750FAIxbKeyH/
705119334	20161108	201611	2016	2016.8438	ENV	CONSERVATIONIST						ENV			MDG	MADAGASCAR	MDG								1	051	051	05	1	3.4	30	3	30	4.14693768172822	0								0								0								20171108214500	http://www.digitaljournal.com/pr/3554203
705119335	20161108	201611	2016	2016.8438	JUD	SUPREME COURT						JUD													1	020	020	02	1	3.0	10	1	10	-2.10772833723653	4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	0								4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	20171108214500	https://www.cqnews.com.au/news/the-billion-dollar-impact-of-new-acland-being-refu/3260428/
705119336	20161108	201611	2016	2016.8438	JUD	SUPREME COURT						JUD													1	020	020	02	1	3.0	10	1	10	-1.26582278481012	4	Rockhampton, Queensland, Australia	AS	AS04	154688	-23.3803	150.506	-1597814	0								4	Rockhampton, Queensland, Australia	AS	AS04	154688	-23.3803	150.506	-1597814	20171108214500	https://www.gattonstar.com.au/news/the-billion-dollar-impact-of-new-acland-being-refu/3260428/
705119337	20161108	201611	2016	2016.8438	MED	MAGAZINE						MED			GOV	CABINET						GOV			0	010	010	01	1	0.0	1	1	1	-1.93740685543965	1	Russia	RS	RS		60	100	RS	1	United States	US	US		39.828175	-98.5795	US	1	Russia	RS	RS		60	100	RS	20171108214500	http://news.trust.org/item/20171108201642-hown6
705119338	20161108	201611	2016	2016.8438	OPP	ACTIVIST						OPP			PTY	POLITICIAN									1	111	111	11	3	-2.0	8	1	8	-1.21107266435986	1	Mexico	MX	MX		23	-102	MX	1	Mexico	MX	MX		23	-102	MX	1	Mexico	MX	MX		23	-102	MX	20171108214500	http://www.statesman.com/news/state--regional-govt--politics/another-mexican-american-studies-textbook-tentatively-rejected/L9UQN2IvqJ750FAIxbKeyH/
705119339	20161108	201611	2016	2016.8438	OPP	ACTIVIST						OPP			PTY	POLITICIAN									1	111	111	11	3	-2.0	2	1	2	-1.21107266435986	2	Texas, United States	US	USTX		31.106	-97.6475	TX	1	Mexico	MX	MX		23	-102	MX	1	Mexico	MX	MX		23	-102	MX	20171108214500	http://www.statesman.com/news/state--regional-govt--politics/another-mexican-american-studies-textbook-tentatively-rejected/L9UQN2IvqJ750FAIxbKeyH/
