703999203	20161105	201611	2016	2016.8356											COP	POLICE						COP			1	112	112	11	3	-2.0	10	1	10	-2.52672497570457	0								3	Mclennan County, Texas, United States	US	USTX		31.5502	-97.1836	1383946	3	Mclennan County, Texas, United States	US	USTX		31.5502	-97.1836	1383946	20171105031500	http://www.wacotrib.com/news/health/opioids-nothing-new-to-local-law-enforcement-looking-into-new/article_66bb8a75-75ed-548d-b3e5-a6910a3bd229.html
703999204	20161105	201611	2016	2016.8356											COP	POLICE						COP			1	173	173	17	4	-5.0	10	1	10	-2.52672497570457	0								3	Mclennan County, Texas, United States	US	USTX		31.5502	-97.1836	1383946	3	Mclennan County, Texas, United States	US	USTX		31.5502	-97.1836	1383946	20171105031500	http://www.wacotrib.com/news/health/opioids-nothing-new-to-local-law-enforcement-looking-into-new/article_66bb8a75-75ed-548d-b3e5-a6910a3bd229.html
703999205	20161105	201611	2016	2016.8356											UZB	UZBEK	UZB								1	190	190	19	4	-10.0	6	1	6	-1.42348754448398	0								3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20171105031500	http://www.wnd.com/2017/11/author-manhattan-truck-jihadist-part-of-a-stealth-invasion/
703999206	20161105	201611	2016	2016.8356											UZB	UZBEKISTAN	UZB								1	190	190	19	4	-10.0	4	1	4	-1.42348754448398	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20171105031500	http://www.wnd.com/2017/11/author-manhattan-truck-jihadist-part-of-a-stealth-invasion/
703999207	20161105	201611	2016	2016.8356	GBR	UNITED KINGDOM	GBR																		1	040	040	04	1	1.0	2	1	2	-0.6993006993007	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	0								2	Iowa, United States	US	USIA		42.0046	-93.214	IA	20171105031500	https://article.wn.com/view/2017/11/05/Boom_da_boom_boom_Boris_Johnson_in_spotlight_as_questions_ra/
703999208	20161105	201611	2016	2016.8356	GBR	UNITED KINGDOM	GBR																		1	040	040	04	1	1.0	2	1	2	-0.6993006993007	1	Russia	RS	RS		60	100	RS	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20171105031500	https://article.wn.com/view/2017/11/05/Boom_da_boom_boom_Boris_Johnson_in_spotlight_as_questions_ra/
703999209	20161105	201611	2016	2016.8356	IDN	INDONESIA	IDN								AUS	AUSTRALIAN	AUS								0	100	100	10	3	-5.0	10	1	10	-2.1656050955414	1	Indonesia	ID	ID		-5	120	ID	1	Australia	AS	AS		-25	135	AS	1	Indonesia	ID	ID		-5	120	ID	20171105031500	https://www.beefcentral.com/trade/recent-beef-export-slump-continues-with-october-trade-at-86200t/
703999210	20161105	201611	2016	2016.8356	SAUGOV	SAUDI ARABIA	SAU					GOV			SAU	RIYADH	SAU								0	138	138	13	3	-7.0	1	1	1	-0.6514657980456	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	20171105031500	http://www.zawya.com/mena/en/story/Trump_backs_New_York_in_bourses_battle_for_Saudi_Aramco_listing-TR20171104nL8N1NA0CAX2/
703999211	20161105	201611	2016	2016.8356	SAUGOV	SAUDI ARABIA	SAU					GOV			SAU	RIYADH	SAU								0	138	138	13	3	-7.0	1	1	1	-0.6514657980456	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20171105031500	http://www.zawya.com/mena/en/story/Trump_backs_New_York_in_bourses_battle_for_Saudi_Aramco_listing-TR20171104nL8N1NA0CAX2/
703999212	20161105	201611	2016	2016.8356	USA	UNITED STATES	USA																		1	173	173	17	4	-5.0	2	1	2	-2.52672497570457	3	Mclennan County, Texas, United States	US	USTX	TX309	31.5502	-97.1836	1383946	0								3	Mclennan County, Texas, United States	US	USTX		31.5502	-97.1836	1383946	20171105031500	http://www.wacotrib.com/news/health/opioids-nothing-new-to-local-law-enforcement-looking-into-new/article_66bb8a75-75ed-548d-b3e5-a6910a3bd229.html
