704045882	20161105	201611	2016	2016.8356	AFR	AFRICA	AFR																		1	173	173	17	4	-5.0	4	1	4	-3.96600566572242	1	South Africa	SF	SF		-30	26	SF	0								1	South Africa	SF	SF		-30	26	SF	20171105093000	https://www.yahoo.com/news/south-african-prosecutors-pistorius-sentence-shockingly-lenient-seek-112915167--spt.html
704045883	20161105	201611	2016	2016.8356	AUS	AUSTRALIA	AUS																		0	013	013	01	1	0.4	2	1	2	0.30721966205837	4	Doncaster, Victoria, Australia	AS	AS07	5393	-37.7833	145.133	-1570220	0								4	Doncaster, Victoria, Australia	AS	AS07	5393	-37.7833	145.133	-1570220	20171105093000	http://www.afr.com/real-estate/tower-melbourne-investors-to-get-deposits-back-20171105-gzf6sp
704045884	20161105	201611	2016	2016.8356	GBR	UNITED KINGDOM	GBR								IGOUNOLEG	THE UN		UNO				IGO	LEG		0	010	010	01	1	0.0	2	1	2	-2.72727272727273	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20171105093000	https://spectator.org/a-century-since-the-balfour-declaration/
704045885	20161105	201611	2016	2016.8356	GBR	BRITAIN	GBR								IGOUNOLEG	THE UN		UNO				IGO	LEG		0	010	010	01	1	0.0	6	1	6	-2.72727272727273	1	United Kingdom	UK	UK		54	-4	UK	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20171105093000	https://spectator.org/a-century-since-the-balfour-declaration/
704045886	20161105	201611	2016	2016.8356	GBR	UNITED KINGDOM	GBR								IGOUNOLEG	THE UN		UNO				IGO	LEG		0	010	010	01	1	0.0	2	1	2	-2.72727272727273	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20171105093000	https://spectator.org/a-century-since-the-balfour-declaration/
704045887	20161105	201611	2016	2016.8356	GBR	UNITED KINGDOM	GBR								IGOUNOLEG	THE UN		UNO				IGO	LEG		0	080	080	08	2	5.0	1	1	1	-2.72727272727273	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	1	United Kingdom	UK	UK		54	-4	UK	20171105093000	https://spectator.org/a-century-since-the-balfour-declaration/
704045888	20161105	201611	2016	2016.8356	GBR	BRITAIN	GBR								IGOUNOLEG	THE UN		UNO				IGO	LEG		0	080	080	08	2	5.0	6	1	6	-2.72727272727273	1	United Kingdom	UK	UK		54	-4	UK	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	1	United Kingdom	UK	UK		54	-4	UK	20171105093000	https://spectator.org/a-century-since-the-balfour-declaration/
704045889	20161105	201611	2016	2016.8356	GBR	UNITED KINGDOM	GBR								IGOUNOLEG	THE UN		UNO				IGO	LEG		0	080	080	08	2	5.0	1	1	1	-2.72727272727273	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20171105093000	https://spectator.org/a-century-since-the-balfour-declaration/
704045890	20161105	201611	2016	2016.8356	GBR	UNITED KINGDOM	GBR								ISR	ISRAEL	ISR								0	015	015	01	1	0.0	4	1	4	-2.72727272727273	1	United Kingdom	UK	UK		54	-4	UK	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	1	United Kingdom	UK	UK		54	-4	UK	20171105093000	https://spectator.org/a-century-since-the-balfour-declaration/
704045891	20161105	201611	2016	2016.8356	GBR	BRITAIN	GBR								PSE	PALESTINE	PSE								0	015	015	01	1	0.0	1	1	1	-2.72727272727273	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	1	United Kingdom	UK	UK		54	-4	UK	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20171105093000	https://spectator.org/a-century-since-the-balfour-declaration/
