705428954	20161109	201611	2016	2016.8466											BLR	BELARUSIAN	BLR								0	062	062	06	2	7.4	2	1	2	-3.83064516129033	0								4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	20171109184500	https://charter97.org/en/news/2017/11/9/268671/
705428955	20161109	201611	2016	2016.8466											LEG	SENATE PRESIDENT						LEG			1	190	190	19	4	-10.0	6	1	6	0.70921985815603	0								1	Jersey	JE	JE		49.216667	-2.116667	JE	1	Jersey	JE	JE		49.216667	-2.116667	JE	20171109184500	https://www.seattletimes.com/nation-world/prieto-wont-seek-3rd-assembly-speaker-term-backs-coughlin/
705428956	20161109	201611	2016	2016.8466	BLR	BELARUSIAN	BLR																		0	062	062	06	2	7.4	2	1	2	-3.83064516129033	4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	0								4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	20171109184500	https://charter97.org/en/news/2017/11/9/268671/
705428957	20161109	201611	2016	2016.8466	BLR	BELARUSIAN	BLR																		0	141	141	14	3	-6.5	2	1	2	-3.83064516129033	4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	0								4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	20171109184500	https://charter97.org/en/news/2017/11/9/268671/
705428958	20161109	201611	2016	2016.8466	CHN	CHINA	CHN																		1	111	111	11	3	-2.0	2	1	2	3.48258706467661	4	Milan, Lombardia, Italy	IT	IT09	18363	45.4667	9.2	-121726	0								4	Shanghai, Shanghai, China	CH	CH23	13243	31.2222	121.458	-1924465	20171109184500	http://wwd.com/business-news/financial/aeffe-profits-more-thans-double-in-nine-months-11045604/
705428959	20161109	201611	2016	2016.8466	CHN	SHENZHEN	CHN								GBR	BRITAIN	GBR								1	080	080	08	2	5.0	3	1	3	2.28758169934641	1	Hong Kong	HK	HK		22.25	114.166667	HK	4	Shenzhen, Guangdong, China	CH	CH30	13036	22.2	111.117	-1925267	1	Hong Kong	HK	HK		22.25	114.166667	HK	20171109184500	http://www.bqlive.co.uk/london-the-south/2017/11/09/news/leading-eyewear-brand-tom-davies-reshores-to-the-uk-28838/
705428960	20161109	201611	2016	2016.8466	CHR	CHRISTIAN				CHR															1	036	036	03	1	4.0	6	1	6	-0.984251968503933	2	Montana, United States	US	USMT		46.9048	-110.326	MT	0								2	Montana, United States	US	USMT		46.9048	-110.326	MT	20171109184500	http://missoulian.com/news/local/regents-will-consider-contract-for-incoming-university-of-montana-president/article_58a66be8-2f0d-522f-9694-8e24de0e9a8e.html
705428961	20161109	201611	2016	2016.8466	CHR	CHRISTIAN				CHR															1	114	114	11	3	-2.0	6	1	6	-0.984251968503933	2	Montana, United States	US	USMT		46.9048	-110.326	MT	0								2	Montana, United States	US	USMT		46.9048	-110.326	MT	20171109184500	http://missoulian.com/news/local/regents-will-consider-contract-for-incoming-university-of-montana-president/article_58a66be8-2f0d-522f-9694-8e24de0e9a8e.html
705428962	20161109	201611	2016	2016.8466	GBR	UNITED KINGDOM	GBR								CHN	SHENZHEN	CHN								1	080	080	08	2	5.0	1	1	1	2.28758169934641	1	Hong Kong	HK	HK		22.25	114.166667	HK	4	Brentford, Hounslow, United Kingdom	UK	UKG1	40110	51.4888	-0.30479	-2590807	1	Hong Kong	HK	HK		22.25	114.166667	HK	20171109184500	http://www.bqlive.co.uk/london-the-south/2017/11/09/news/leading-eyewear-brand-tom-davies-reshores-to-the-uk-28838/
705428963	20161109	201611	2016	2016.8466	GBR	UNITED KINGDOM	GBR								CHN	SHENZHEN	CHN								1	080	080	08	2	5.0	1	1	1	2.28758169934641	1	Hong Kong	HK	HK		22.25	114.166667	HK	1	Hong Kong	HK	HK		22.25	114.166667	HK	1	Hong Kong	HK	HK		22.25	114.166667	HK	20171109184500	http://www.bqlive.co.uk/london-the-south/2017/11/09/news/leading-eyewear-brand-tom-davies-reshores-to-the-uk-28838/
