704613755	20161107	201611	2016	2016.8411	GBR	UNITED KINGDOM	GBR								USA	LAS VEGAS	USA								1	042	042	04	1	1.9	4	1	4	4.16666666666667	4	Bedford, Borough of Bedford, United Kingdom	UK	UKZ5	40124	52.1333	-0.45	-2589545	4	Bedford, Borough of Bedford, United Kingdom	UK	UKZ5	40124	52.1333	-0.45	-2589545	4	Bedford, Borough of Bedford, United Kingdom	UK	UKZ5	40124	52.1333	-0.45	-2589545	20171107111500	http://www.bedfordtoday.co.uk/whats-on/award-winning-ventriloquist-ready-to-prove-he-s-all-mouth-1-8232913
704613756	20161107	201611	2016	2016.8411	GOV	ADMINISTRATION						GOV			MED	RADIO STATION						MED			0	046	046	04	1	7.0	2	1	2	-0.8605851979346	4	Anambra, Nigeria (general), Nigeria	NI	NI00	22911	7.26667	7.4	-1999832	4	Anambra, Nigeria (general), Nigeria	NI	NI00	22911	7.26667	7.4	-1999832	4	Anambra, Nigeria (general), Nigeria	NI	NI00	22911	7.26667	7.4	-1999832	20171107111500	https://niyitabiti.net/2017/11/pdp-rallies-apga-gains/
704613757	20161107	201611	2016	2016.8411	GOV	ADMINISTRATION						GOV			NGA	NIGERIA	NGA								0	046	046	04	1	7.0	6	1	6	-0.8605851979346	4	Anambra, Nigeria (general), Nigeria	NI	NI00	22911	7.26667	7.4	-1999832	4	Anambra, Nigeria (general), Nigeria	NI	NI00	22911	7.26667	7.4	-1999832	4	Anambra, Nigeria (general), Nigeria	NI	NI00	22911	7.26667	7.4	-1999832	20171107111500	https://niyitabiti.net/2017/11/pdp-rallies-apga-gains/
704613758	20161107	201611	2016	2016.8411	GOV	ADMINISTRATION						GOV			NGA	NIGERIA	NGA								0	046	046	04	1	7.0	2	1	2	-0.8605851979346	4	Awka, Anambra, Nigeria	NI	NI25	22655	6.21009	7.07411	-2001023	4	Awka, Anambra, Nigeria	NI	NI25	22655	6.21009	7.07411	-2001023	4	Awka, Anambra, Nigeria	NI	NI25	22655	6.21009	7.07411	-2001023	20171107111500	https://niyitabiti.net/2017/11/pdp-rallies-apga-gains/
704613759	20161107	201611	2016	2016.8411	MED	RADIO STATION						MED			GOV	ADMINISTRATION						GOV			0	042	042	04	1	1.9	2	1	2	-0.8605851979346	4	Anambra, Nigeria (general), Nigeria	NI	NI00	22911	7.26667	7.4	-1999832	4	Anambra, Nigeria (general), Nigeria	NI	NI00	22911	7.26667	7.4	-1999832	4	Anambra, Nigeria (general), Nigeria	NI	NI00	22911	7.26667	7.4	-1999832	20171107111500	https://niyitabiti.net/2017/11/pdp-rallies-apga-gains/
704613760	20161107	201611	2016	2016.8411	MED	RADIO STATION						MED			GOV	ADMINISTRATION						GOV			0	046	046	04	1	7.0	2	1	2	-0.8605851979346	4	Anambra, Nigeria (general), Nigeria	NI	NI00	22911	7.26667	7.4	-1999832	4	Anambra, Nigeria (general), Nigeria	NI	NI00	22911	7.26667	7.4	-1999832	4	Anambra, Nigeria (general), Nigeria	NI	NI00	22911	7.26667	7.4	-1999832	20171107111500	https://niyitabiti.net/2017/11/pdp-rallies-apga-gains/
704613761	20161107	201611	2016	2016.8411	NGA	NIGERIA	NGA								GOV	ADMINISTRATION						GOV			0	046	046	04	1	7.0	6	1	6	-0.8605851979346	4	Anambra, Nigeria (general), Nigeria	NI	NI00	22911	7.26667	7.4	-1999832	4	Anambra, Nigeria (general), Nigeria	NI	NI00	22911	7.26667	7.4	-1999832	4	Anambra, Nigeria (general), Nigeria	NI	NI00	22911	7.26667	7.4	-1999832	20171107111500	https://niyitabiti.net/2017/11/pdp-rallies-apga-gains/
704613762	20161107	201611	2016	2016.8411	NGA	NIGERIA	NGA								GOV	ADMINISTRATION						GOV			0	046	046	04	1	7.0	2	1	2	-0.8605851979346	4	Awka, Anambra, Nigeria	NI	NI25	22655	6.21009	7.07411	-2001023	4	Awka, Anambra, Nigeria	NI	NI25	22655	6.21009	7.07411	-2001023	4	Awka, Anambra, Nigeria	NI	NI25	22655	6.21009	7.07411	-2001023	20171107111500	https://niyitabiti.net/2017/11/pdp-rallies-apga-gains/
704613763	20161107	201611	2016	2016.8411	NGA	NIGERIA	NGA								MED	RADIO STATION						MED			0	042	042	04	1	1.9	4	1	4	-0.8605851979346	4	Anambra, Nigeria (general), Nigeria	NI	NI00	22911	7.26667	7.4	-1999832	4	Anambra, Nigeria (general), Nigeria	NI	NI00	22911	7.26667	7.4	-1999832	4	Anambra, Nigeria (general), Nigeria	NI	NI00	22911	7.26667	7.4	-1999832	20171107111500	https://niyitabiti.net/2017/11/pdp-rallies-apga-gains/
704613764	20161107	201611	2016	2016.8411	NGA	NIGERIA	NGA								MED	RADIO STATION						MED			0	042	042	04	1	1.9	1	1	1	-0.8605851979346	4	Anambra, Nigeria (general), Nigeria	NI	NI00	22911	7.26667	7.4	-1999832	4	Awka, Anambra, Nigeria	NI	NI25	22655	6.21009	7.07411	-2001023	4	Anambra, Nigeria (general), Nigeria	NI	NI00	22911	7.26667	7.4	-1999832	20171107111500	https://niyitabiti.net/2017/11/pdp-rallies-apga-gains/
704613765	20161107	201611	2016	2016.8411	NGA	NIGERIA	NGA								MED	RADIO STATION						MED			0	042	042	04	1	1.9	1	1	1	-0.8605851979346	4	Awka, Anambra, Nigeria	NI	NI25	22655	6.21009	7.07411	-2001023	4	Awka, Anambra, Nigeria	NI	NI25	22655	6.21009	7.07411	-2001023	4	Awka, Anambra, Nigeria	NI	NI25	22655	6.21009	7.07411	-2001023	20171107111500	https://niyitabiti.net/2017/11/pdp-rallies-apga-gains/
704613766	20161107	201611	2016	2016.8411	USA	LAS VEGAS	USA								GBR	UNITED KINGDOM	GBR								1	043	043	04	1	2.8	2	1	2	4.16666666666667	4	Bedford, Borough of Bedford, United Kingdom	UK	UKZ5	40124	52.1333	-0.45	-2589545	4	Bedford, Borough of Bedford, United Kingdom	UK	UKZ5	40124	52.1333	-0.45	-2589545	4	Bedford, Borough of Bedford, United Kingdom	UK	UKZ5	40124	52.1333	-0.45	-2589545	20171107111500	http://www.bedfordtoday.co.uk/whats-on/award-winning-ventriloquist-ready-to-prove-he-s-all-mouth-1-8232913
704613767	20161107	201611	2016	2016.8411	USA	LAS VEGAS	USA								GBR	UNITED KINGDOM	GBR								1	043	043	04	1	2.8	2	1	2	4.16666666666667	3	Las Vegas, Nevada, United States	US	USNV	NV003	36.175	-115.137	847388	4	Bedford, Borough of Bedford, United Kingdom	UK	UKZ5	40124	52.1333	-0.45	-2589545	3	Las Vegas, Nevada, United States	US	USNV		36.175	-115.137	847388	20171107111500	http://www.bedfordtoday.co.uk/whats-on/award-winning-ventriloquist-ready-to-prove-he-s-all-mouth-1-8232913
704613768	20161107	201611	2016	2016.8411	USAEDU	VIRGINIA	USA					EDU			USA	VIRGINIA	USA								0	110	110	11	3	-2.0	10	1	10	-0.5086469989827	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	20171107111500	http://www.cbc.ca/news/world/virginia-election-trump-factor-northam-gillespie-1.4389182
704613769	20171008	201710	2017	2017.7616	FRA	PARIS	FRA								NIC	NICARAGUA	NIC								0	057	057	05	1	8.0	4	1	4	2.11480362537764	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	1	Nicaragua	NU	NU		13	-85	NU	1	Nicaragua	NU	NU		13	-85	NU	20171107111500	http://cphpost.dk/news/denmark-bracing-itself-for-cop23-action-in-bonn.html
704613770	20171008	201710	2017	2017.7616	FRA	PARIS	FRA								NIC	NICARAGUA	NIC								0	057	057	05	1	8.0	1	1	1	2.11480362537764	1	Nicaragua	NU	NU		13	-85	NU	1	Nicaragua	NU	NU		13	-85	NU	1	Nicaragua	NU	NU		13	-85	NU	20171107111500	http://cphpost.dk/news/denmark-bracing-itself-for-cop23-action-in-bonn.html
704613771	20171008	201710	2017	2017.7616	JUD	PROSECUTOR						JUD			MOS	ISLAMIC				MOS					1	112	112	11	3	-2.0	30	3	30	-6.96063196063197	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20171107111500	http://www.dailyjournal.net/2017/11/07/as-philippines-us-disrupted-terror-plot-2/
704613772	20171008	201710	2017	2017.7616	JUD	PROSECUTOR						JUD			USA	NEW YORK	USA								1	1384	138	13	3	-7.0	30	3	30	-6.96063196063197	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20171107111500	http://www.dailyjournal.net/2017/11/07/as-philippines-us-disrupted-terror-plot-2/
704613773	20171008	201710	2017	2017.7616	NIC	NICARAGUA	NIC								FRA	PARIS	FRA								0	057	057	05	1	8.0	4	1	4	2.11480362537764	1	Nicaragua	NU	NU		13	-85	NU	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	1	Nicaragua	NU	NU		13	-85	NU	20171107111500	http://cphpost.dk/news/denmark-bracing-itself-for-cop23-action-in-bonn.html
704613774	20171008	201710	2017	2017.7616	NIC	NICARAGUA	NIC								FRA	PARIS	FRA								0	057	057	05	1	8.0	1	1	1	2.11480362537764	1	Nicaragua	NU	NU		13	-85	NU	1	Nicaragua	NU	NU		13	-85	NU	1	Nicaragua	NU	NU		13	-85	NU	20171107111500	http://cphpost.dk/news/denmark-bracing-itself-for-cop23-action-in-bonn.html
704613775	20171008	201710	2017	2017.7616	SYR	SYRIA	SYR								USA	THE US	USA								0	057	057	05	1	8.0	2	1	2	2.11480362537764	1	Nicaragua	NU	NU		13	-85	NU	1	Nicaragua	NU	NU		13	-85	NU	1	Syria	SY	SY		35	38	SY	20171107111500	http://cphpost.dk/news/denmark-bracing-itself-for-cop23-action-in-bonn.html
