703946867	20161104	201611	2016	2016.8329											MMRMIL	MYANMAR	MMR					MIL			1	170	170	17	4	-7.0	3	1	3	-3.34029227557412	0								4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20171104203000	http://www.thedailystar.net/frontpage/rohingya-crisis-china-recipe-not-working-1486399
703946868	20161104	201611	2016	2016.8329	MMRMIL	MYANMAR	MMR					MIL			BGD	BANGLADESH	BGD								0	173	173	17	4	-5.0	10	1	10	-3.34029227557412	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	20171104203000	http://www.thedailystar.net/frontpage/rohingya-crisis-china-recipe-not-working-1486399
703946869	20161104	201611	2016	2016.8329	MMRMIL	MYANMAR	MMR					MIL			BGD	BANGLADESH	BGD								0	192	192	19	4	-9.5	10	1	10	-3.34029227557412	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	20171104203000	http://www.thedailystar.net/frontpage/rohingya-crisis-china-recipe-not-working-1486399
703946870	20161104	201611	2016	2016.8329	SPY	INTELLIGENCE						SPY			USA	UNITED STATES	USA								0	013	013	01	1	0.4	5	1	5	-2.37154150197628	1	Congo	CF	CF		-1	15	CF	1	Congo	CF	CF		-1	15	CF	1	Congo	CF	CF		-1	15	CF	20171104203000	http://www.foxnews.com/travel/2017/11/04/heres-difference-between-travel-alerts-and-warnings.html
703946871	20161104	201611	2016	2016.8329	USA	FLORIDA	USA								JUD	ADVOCATE						JUD			1	051	051	05	1	3.4	10	1	10	-2.76729559748428	3	Fort Myers, Florida, United States	US	USFL	FL071	26.6406	-81.8723	282700	3	Fort Myers, Florida, United States	US	USFL		26.6406	-81.8723	282700	3	Fort Myers, Florida, United States	US	USFL		26.6406	-81.8723	282700	20171104203000	http://www.news-press.com/story/news/environment/2017/11/04/hurricane-irma-wild-card-gov-scotts-100-m-budget-proposal-beaches/818650001/
703946872	20171005	201710	2017	2017.7534	GOV	MINIST						GOV													0	060	060	06	2	6.0	2	2	2	-9.26829268292685	1	United States	US	US		39.828175	-98.5795	US	0								4	Harare, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	20171104203000	http://www.nbc-2.com/story/36763821/american-faces-20-years-in-zimbabwe-jail-over-tweet-critical-of-president
703946873	20171005	201710	2017	2017.7534	GOV	MINIST						GOV			OPP	ACTIVIST						OPP			0	060	060	06	2	6.0	2	2	2	-9.26829268292685	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	4	Harare, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	20171104203000	http://www.nbc-2.com/story/36763821/american-faces-20-years-in-zimbabwe-jail-over-tweet-critical-of-president
703946874	20171028	201710	2017	2017.8164											GOV	GOVERNMENT						GOV			1	084	084	08	2	7.0	3	1	3	-2.10396039603961	0								4	Rosa Maria, Sinaloa, Mexico	MX	MX25	20887	24.6708	-107.689	-1694171	4	Rosa Maria, Sinaloa, Mexico	MX	MX25	20887	24.6708	-107.689	-1694171	20171104203000	https://wonkette.com/625327/10-year-old-girl-with-cerebral-palsy-out-of-immigration-jail-back-with-parents-ready-to-take-your-job
703946875	20171028	201710	2017	2017.8164											USA	SALT LAKE CITY	USA								1	040	040	04	1	1.0	10	1	10	7.97546012269939	0								2	Utah, United States	US	USUT		40.1135	-111.854	UT	3	Salt Lake, Utah, United States	US	USUT		39.1559	-112.691	1436291	20171104203000	http://www.sltrib.com/artsliving/arts/2017/11/04/first-illuminate-salt-lake-festival-aims-to-light-up-city-with-high-tech-art/
703946876	20171028	201710	2017	2017.8164	BRA	BRAZIL	BRA																		1	171	171	17	4	-9.2	4	1	4	-5.80046403712297	4	Sao Paulo, SãPaulo, Brazil	BR	BR27	11543	-23.5333	-46.6167	-671824	0								4	Sao Paulo, SãPaulo, Brazil	BR	BR27	11543	-23.5333	-46.6167	-671824	20171104203000	https://www.bloodyelbow.com/2017/11/4/16605964/ufc-fight-night-mma-news-interview-darren-till-colby-covington-brazil-fans-controversy-fight
