704052761	20161105	201611	2016	2016.8356											ISR	ISRAEL	ISR								0	043	043	04	1	2.8	2	1	2	-0.95098756400878	0								4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Warsaw, (PL67), Poland	PL	PL67	24452	52.25	21	-534433	20171105103000	http://forward.com/news/longform/386714/the-holocaust-activist-whos-warning-poland-about-danger-posed-by-jews/
704052762	20161105	201611	2016	2016.8356	GOV	GOVERNMENT						GOV			LBN	LEBANON	LBN								0	043	043	04	1	2.8	2	1	2	-4.19753086419753	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20171105103000	https://www.haaretz.com/middle-east-news/1.821085
704052763	20161105	201611	2016	2016.8356	IRL	IRELAND	IRL																		0	013	013	01	1	0.4	4	1	4	1.96629213483147	1	Ireland	EI	EI		53	-8	EI	0								1	Ireland	EI	EI		53	-8	EI	20171105103000	http://www.thejournal.ie/charities-regulator-2-3674712-Nov2017/
704052764	20161105	201611	2016	2016.8356	ISR	ISRAEL	ISR																		0	042	042	04	1	1.9	2	1	2	-0.95098756400878	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	0								4	Warsaw, (PL67), Poland	PL	PL67	24452	52.25	21	-534433	20171105103000	http://forward.com/news/longform/386714/the-holocaust-activist-whos-warning-poland-about-danger-posed-by-jews/
704052765	20161105	201611	2016	2016.8356	LBN	LEBANON	LBN								GOV	GOVERNMENT						GOV			0	042	042	04	1	1.9	2	1	2	-4.19753086419753	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20171105103000	https://www.haaretz.com/middle-east-news/1.821085
704052766	20161105	201611	2016	2016.8356	MWI	MALAWI	MWI								MIL	LIEUTENANT						MIL			0	111	111	11	3	-2.0	2	1	2	0.3404255319149	1	Malawi	MI	MI		-13.5	34	MI	4	Harare, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	4	Harare, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	20171105103000	http://bulawayo24.com/news/national/121199
704052767	20161105	201611	2016	2016.8356	PRT	PORTUGAL	PRT								AUS	AUSTRALIAN	AUS								0	010	010	01	1	0.0	1	1	1	1.82724252491694	4	Iberian Peninsula, Portugal (general), Portugal	PO	PO00	25815	40	-5	-2167107	1	Australia	AS	AS		-25	135	AS	4	Iberian Peninsula, Portugal (general), Portugal	PO	PO00	25815	40	-5	-2167107	20171105103000	https://www.hospitalityandcateringnews.com/2017/11/leandro-carreiras-londrino-launch-late-november/
704052768	20161105	201611	2016	2016.8356	PRT	PORTUGAL	PRT								AUS	AUSTRALIAN	AUS								0	010	010	01	1	0.0	1	1	1	1.82724252491694	4	Lisbon, Lisboa, Portugal	PO	PO14	24830	38.7167	-9.13333	-2167973	1	Australia	AS	AS		-25	135	AS	4	Lisbon, Lisboa, Portugal	PO	PO14	24830	38.7167	-9.13333	-2167973	20171105103000	https://www.hospitalityandcateringnews.com/2017/11/leandro-carreiras-londrino-launch-late-november/
704052769	20161105	201611	2016	2016.8356	PRT	PORTUGAL	PRT								AUS	AUSTRALIAN	AUS								0	110	110	11	3	-2.0	1	1	1	1.82724252491694	4	Iberian Peninsula, Portugal (general), Portugal	PO	PO00	25815	40	-5	-2167107	1	Australia	AS	AS		-25	135	AS	4	Iberian Peninsula, Portugal (general), Portugal	PO	PO00	25815	40	-5	-2167107	20171105103000	https://www.hospitalityandcateringnews.com/2017/11/leandro-carreiras-londrino-launch-late-november/
704052770	20161105	201611	2016	2016.8356	PRT	PORTUGAL	PRT								AUS	AUSTRALIAN	AUS								0	110	110	11	3	-2.0	1	1	1	1.82724252491694	4	Lisbon, Lisboa, Portugal	PO	PO14	24830	38.7167	-9.13333	-2167973	1	Australia	AS	AS		-25	135	AS	4	Iberian Peninsula, Portugal (general), Portugal	PO	PO00	25815	40	-5	-2167107	20171105103000	https://www.hospitalityandcateringnews.com/2017/11/leandro-carreiras-londrino-launch-late-november/
