704709806	20161107	201611	2016	2016.8411											FINBUS	FINNISH	FIN					BUS			0	036	036	03	1	4.0	6	1	6	-0.33444816053512	0								1	Finland	FI	FI		64	26	FI	1	Finland	FI	FI		64	26	FI	20171107171500	http://english.ahram.org.eg/NewsContent/1/64/281111/Egypt/Politics-/Egypts-Shoukry-discuss-economic-ties,-illegal-immi.aspx
704709807	20161107	201611	2016	2016.8411											HLHLAB	HOSPITAL						HLH	LAB		1	051	051	05	1	3.4	10	1	10	-5.22388059701493	0								0								0								20171107171500	http://www.politicsweb.co.za/politics/support-staff-absent-at-bara--jack-bloom
704709808	20161107	201611	2016	2016.8411											PRK	NORTH KOREAN	PRK								0	051	051	05	1	3.4	3	1	2	-2.67363245236632	0								4	Pyongyang, P'yongyang-si, North Korea	KN	KN12	39681	39.0194	125.755	-183459	4	Pyongyang, P'yongyang-si, North Korea	KN	KN12	39681	39.0194	125.755	-183459	20171107171500	http://www.truth-out.org/news/item/42451-why-does-the-alt-right-support-north-korea
704709809	20161107	201611	2016	2016.8411											PRKGOV	NORTH KOREAN	PRK					GOV			0	051	051	05	1	3.4	6	1	3	-2.67363245236632	0								4	Pyongyang, P'yongyang-si, North Korea	KN	KN12	39681	39.0194	125.755	-183459	4	Pyongyang, P'yongyang-si, North Korea	KN	KN12	39681	39.0194	125.755	-183459	20171107171500	http://www.truth-out.org/news/item/42451-why-does-the-alt-right-support-north-korea
704709810	20161107	201611	2016	2016.8411											USA	UNITED STATES	USA								1	042	042	04	1	1.9	3	1	3	1.11940298507463	0								3	Fredonia, Texas, United States	US	USTX	TX319	30.9321	-99.1134	1357701	3	Nacogdoches, Texas, United States	US	USTX	TX347	31.6035	-94.6555	1363573	20171107171500	http://kicks105.com/the-fredonia-brewery-has-extended-distribution-all-over-texas/
704709811	20161107	201611	2016	2016.8411											USA	TEXAS	USA								1	042	042	04	1	1.9	2	1	2	1.11940298507463	0								2	Texas, United States	US	USTX		31.106	-97.6475	TX	3	Nacogdoches, Texas, United States	US	USTX	TX347	31.6035	-94.6555	1363573	20171107171500	http://kicks105.com/the-fredonia-brewery-has-extended-distribution-all-over-texas/
704709812	20161107	201611	2016	2016.8411											USA	UNITED STATES	USA								0	043	043	04	1	2.8	1	1	1	1.77966101694915	0								3	Canyonville, Oregon, United States	US	USOR	OR019	42.9273	-123.281	1118589	3	Canyonville, Oregon, United States	US	USOR	OR019	42.9273	-123.281	1118589	20171107171500	https://www.nrtoday.com/news/local/south_county/canyonville/canyonville-christian-academy-alumnus-rose-to-the-top-of-the/article_4db2230c-ed00-542c-9662-517748e04cc7.html
704709813	20161107	201611	2016	2016.8411	DEU	GERMANY	DEU																		1	130	130	13	3	-4.4	2	1	2	-1.88323917137477	4	Hamburg, Hamburg, Germany	GM	GM04	40698	53.55	10	-1785434	0								4	Hamburg, Hamburg, Germany	GM	GM04	40698	53.55	10	-1785434	20171107171500	https://theloadstar.co.uk/maersk-line-stays-profit-despite-cyber-attack-apmt-damco-feel-heat/
704709814	20161107	201611	2016	2016.8411	DEU	GERMANY	DEU																		1	130	130	13	3	-4.4	1	1	1	-1.88323917137477	4	Hamburg, Hamburg, Germany	GM	GM04	40698	53.55	10	-1785434	0								1	Canada	CA	CA		60	-96	CA	20171107171500	https://theloadstar.co.uk/maersk-line-stays-profit-despite-cyber-attack-apmt-damco-feel-heat/
704709815	20161107	201611	2016	2016.8411	DEU	GERMANY	DEU																		1	130	130	13	3	-4.4	1	1	1	-1.88323917137477	1	Canada	CA	CA		60	-96	CA	0								1	Canada	CA	CA		60	-96	CA	20171107171500	https://theloadstar.co.uk/maersk-line-stays-profit-despite-cyber-attack-apmt-damco-feel-heat/
