703698228	20161103	201611	2016	2016.8301											GBR	UNITED KINGDOM	GBR								1	036	036	03	1	4.0	1	1	1	6.19834710743802	0								4	Brixton, Lambeth, United Kingdom	UK	UKH1	40133	51.4667	-0.1	-2590937	4	Brixton, Lambeth, United Kingdom	UK	UKH1	40133	51.4667	-0.1	-2590937	20171103184500	https://djmag.com/content/unleash-bringing-passion-and-pizzazz-london-party-scene-promoter-focus
703698229	20161103	201611	2016	2016.8301											GBR	BRITISH	GBR								1	051	051	05	1	3.4	1	1	1	6.19834710743802	0								4	Brixton, Lambeth, United Kingdom	UK	UKH1	40133	51.4667	-0.1	-2590937	4	Brixton, Lambeth, United Kingdom	UK	UKH1	40133	51.4667	-0.1	-2590937	20171103184500	https://djmag.com/content/unleash-bringing-passion-and-pizzazz-london-party-scene-promoter-focus
703698230	20161103	201611	2016	2016.8301											GBR	UNITED KINGDOM	GBR								1	112	112	11	3	-2.0	4	1	4	-10.3752759381898	0								4	Stevenston, North Ayrshire, United Kingdom	UK	UKV7	40176	55.6333	-4.76667	-2608714	4	Stevenston, North Ayrshire, United Kingdom	UK	UKV7	40176	55.6333	-4.76667	-2608714	20171103184500	http://www.bbc.co.uk/news/uk-scotland-glasgow-west-41861904
703698231	20161103	201611	2016	2016.8301	BGD	BANGLADESH	BGD																		0	120	120	12	3	-4.0	4	1	4	-3.6617262423714	4	Shibganj, Rajshahi, Bangladesh	BG	BG83	17955	24.6829	88.1597	-2737970	0								4	Boalkhali, Bangladesh (general), Bangladesh	BG	BG00	5777	23.2333	92.0667	-2714622	20171103184500	http://dev.thedailystar.net/frontpage/arms-smuggling-just-so-easy-1486057
703698232	20161103	201611	2016	2016.8301	BGD	BANGLADESH	BGD																		0	120	120	12	3	-4.0	1	1	1	-3.6617262423714	4	Shibganj, Rajshahi, Bangladesh	BG	BG83	17955	24.6829	88.1597	-2737970	0								4	Shibganj, Rajshahi, Bangladesh	BG	BG83	17955	24.6829	88.1597	-2737970	20171103184500	http://dev.thedailystar.net/frontpage/arms-smuggling-just-so-easy-1486057
703698233	20161103	201611	2016	2016.8301	COP	POLICE						COP													1	190	190	19	4	-10.0	10	1	10	-3.6617262423714	4	Shibganj, Rajshahi, Bangladesh	BG	BG83	17955	24.6829	88.1597	-2737970	0								4	Shibganj, Rajshahi, Bangladesh	BG	BG83	17955	24.6829	88.1597	-2737970	20171103184500	http://dev.thedailystar.net/frontpage/arms-smuggling-just-so-easy-1486057
703698234	20161103	201611	2016	2016.8301	COP	POLICE						COP			BGD	CHITTAGONG	BGD								0	173	173	17	4	-5.0	10	1	10	-3.6617262423714	4	Boalkhali, Bangladesh (general), Bangladesh	BG	BG00	5777	23.2333	92.0667	-2714622	4	Boalkhali, Bangladesh (general), Bangladesh	BG	BG00	5777	23.2333	92.0667	-2714622	4	Boalkhali, Bangladesh (general), Bangladesh	BG	BG00	5777	23.2333	92.0667	-2714622	20171103184500	http://dev.thedailystar.net/frontpage/arms-smuggling-just-so-easy-1486057
703698235	20161103	201611	2016	2016.8301	GBR	UNITED KINGDOM	GBR																		1	036	036	03	1	4.0	1	1	1	6.19834710743802	4	Brixton, Lambeth, United Kingdom	UK	UKH1	40133	51.4667	-0.1	-2590937	0								4	Brixton, Lambeth, United Kingdom	UK	UKH1	40133	51.4667	-0.1	-2590937	20171103184500	https://djmag.com/content/unleash-bringing-passion-and-pizzazz-london-party-scene-promoter-focus
703698236	20161103	201611	2016	2016.8301	GBR	SCOTLAND	GBR																		1	044	044	04	1	2.5	10	1	10	5.29411764705882	0								0								0								20171103184500	https://www.pressandjournal.co.uk/fp/business/farming/1352752/youngsters-chance-to-attend-oxford-farming-conference/
703698237	20161103	201611	2016	2016.8301	GBR	UNITED KINGDOM	GBR																		1	051	051	05	1	3.4	1	1	1	6.19834710743802	4	Brixton, Lambeth, United Kingdom	UK	UKH1	40133	51.4667	-0.1	-2590937	0								4	Brixton, Lambeth, United Kingdom	UK	UKH1	40133	51.4667	-0.1	-2590937	20171103184500	https://djmag.com/content/unleash-bringing-passion-and-pizzazz-london-party-scene-promoter-focus
