703880065	20161104	201611	2016	2016.8329	DEULEG	GERMANY	DEU					LEG													0	010	010	01	1	0.0	1	1	1	-2.81485076437757	4	Portbou, Comunidad Autonoma de Cataluna, Spain	SP	SP56	16289	42.4263	3.15767	-397205	0								1	Germany	GM	GM		51.5	10.5	GM	20171104124500	https://godsandradicals.org/2017/11/04/catalunya-and-the-coming-flood/
703880066	20171005	201710	2017	2017.7534											PSE	WEST BANK	PSE								0	0841	084	08	2	7.0	2	1	2	-4.77941176470588	0								4	Ramallah, West Bank (general), West Bank	WE	WE00	68767	31.9026	35.1955	-795956	1	Egypt	EG	EG		27	30	EG	20171104124500	https://www.middleeastmonitor.com/20171104-handing-control-of-crossings-to-the-pa-removes-israeli-pretext-for-siege-on-gaza/
703880067	20171005	201710	2017	2017.7534	SOM	SOMALIA	SOM																		1	192	192	19	4	-9.5	5	1	5	-3.96039603960396	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	0								3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20171104124500	https://aawsat.com/english/home/article/1073156/us-strikes-isis-somalia-1st-time
703880068	20171005	201710	2017	2017.7534	USA	UNITED STATES	USA								EGY	EGYPT	EGY								0	190	190	19	4	-10.0	2	1	2	-4.344453064391	2	District of Columbia, United States	US	USDC		38.8964	-77.0262	DC	4	Alexandria, Al Iskandariyah, Egypt	EG	EG06	61590	31.1981	29.9192	-290263	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	20171104124500	https://www.politico.eu/article/us-special-counsel-robert-mueller-braces-for-challenges-to-his-authority-trump-russia-investigation/
703880069	20171005	201710	2017	2017.7534	USA	UNITED STATES	USA								EGY	EGYPT	EGY								0	190	190	19	4	-10.0	2	1	2	-4.344453064391	2	District of Columbia, United States	US	USDC		38.8964	-77.0262	DC	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20171104124500	https://www.politico.eu/article/us-special-counsel-robert-mueller-braces-for-challenges-to-his-authority-trump-russia-investigation/
703880070	20171028	201710	2017	2017.8164	GOV	MINIST						GOV													1	020	020	02	1	3.0	3	1	3	-1.34831460674157	4	Mazenod, Lesotho (general), Lesotho	LT	LT00	18925	-29.419	27.5689	-1405865	0								4	Mazenod, Lesotho (general), Lesotho	LT	LT00	18925	-29.419	27.5689	-1405865	20171104124500	http://allafrica.com/stories/201711040150.html
703880071	20171028	201710	2017	2017.8164	GOV	MINIST						GOV													1	090	090	09	2	-2.0	3	1	3	-1.34831460674157	4	Mazenod, Lesotho (general), Lesotho	LT	LT00	18925	-29.419	27.5689	-1405865	0								4	Mazenod, Lesotho (general), Lesotho	LT	LT00	18925	-29.419	27.5689	-1405865	20171104124500	http://allafrica.com/stories/201711040150.html
703880072	20171028	201710	2017	2017.8164	GOV	MINIST						GOV			LSO	LESOTHO	LSO								1	020	020	02	1	3.0	2	1	2	-1.34831460674157	4	Mazenod, Lesotho (general), Lesotho	LT	LT00	18925	-29.419	27.5689	-1405865	4	Mazenod, Lesotho (general), Lesotho	LT	LT00	18925	-29.419	27.5689	-1405865	4	Mazenod, Lesotho (general), Lesotho	LT	LT00	18925	-29.419	27.5689	-1405865	20171104124500	http://allafrica.com/stories/201711040150.html
703880073	20171028	201710	2017	2017.8164	GOV	MINIST						GOV			LSO	LESOTHO	LSO								1	090	090	09	2	-2.0	2	1	2	-1.34831460674157	4	Mazenod, Lesotho (general), Lesotho	LT	LT00	18925	-29.419	27.5689	-1405865	4	Mazenod, Lesotho (general), Lesotho	LT	LT00	18925	-29.419	27.5689	-1405865	4	Mazenod, Lesotho (general), Lesotho	LT	LT00	18925	-29.419	27.5689	-1405865	20171104124500	http://allafrica.com/stories/201711040150.html
703880074	20171028	201710	2017	2017.8164	LEG	CHAMBER						LEG			USA	INDIANA	USA								0	036	036	03	1	4.0	7	1	7	-2.39700374531835	2	Indiana, United States	US	USIN		39.8647	-86.2604	IN	2	Indiana, United States	US	USIN		39.8647	-86.2604	IN	2	Indiana, United States	US	USIN		39.8647	-86.2604	IN	20171104124500	https://www.politico.com/story/2017/11/04/trump-gop-tax-bill-democrats-244529
