703694983	20071106	200711	2007	2007.8384	BUS	BANK						BUS													1	071	071	07	2	7.4	4	1	4	4.70588235294118	4	Wagga Wagga, New South Wales, Australia	AS	AS02	5099	-35.1258	147.354	-1607133	0								4	Wagga Wagga, New South Wales, Australia	AS	AS02	5099	-35.1258	147.354	-1607133	20171103183000	http://www.indusage.com.au/nsw-riverina-oils-a-huge-success-in-india/
703694984	20071106	200711	2007	2007.8384	BUS	BANK						BUS													1	071	071	07	2	7.4	1	1	1	4.70588235294118	4	Baroda, Gujarat, India	IN	IN09	70124	22.3	73.2	-2114049	0								4	Wagga Wagga, New South Wales, Australia	AS	AS02	5099	-35.1258	147.354	-1607133	20171103183000	http://www.indusage.com.au/nsw-riverina-oils-a-huge-success-in-india/
703694985	20071106	200711	2007	2007.8384	BUS	BANK						BUS													1	071	071	07	2	7.4	5	1	5	4.70588235294118	4	Baroda, Gujarat, India	IN	IN09	70124	22.3	73.2	-2114049	0								4	Baroda, Gujarat, India	IN	IN09	70124	22.3	73.2	-2114049	20171103183000	http://www.indusage.com.au/nsw-riverina-oils-a-huge-success-in-india/
703694986	20161103	201611	2016	2016.8301											IND	KARNATAKA	IND								1	036	036	03	1	4.0	6	1	6	1.92926045016077	0								5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	20171103183000	https://economictimes.indiatimes.com/news/politics-and-nation/congress-goes-all-out-in-best-bet-karnataka/articleshow/61498941.cms
703694987	20161103	201611	2016	2016.8301											MNCUSAMED	GOOGLE	USA					MNC	MED		0	051	051	05	1	3.4	10	1	10	1.22935074913562	0								1	Mali	ML	ML		17	-4	ML	1	Mali	ML	ML		17	-4	ML	20171103183000	http://www.talkandroid.com/author/spencer-m/
703694988	20161103	201611	2016	2016.8301	CAN	CANADA	CAN																		1	045	045	04	1	5.0	4	1	4	0.5736137667304	1	Canada	CA	CA		60	-96	CA	0								1	Canada	CA	CA		60	-96	CA	20171103183000	http://www.mining.com/copper-miners-to-see-profit-grow-further-in-2018-report/
703694989	20161103	201611	2016	2016.8301	GOV	PRESIDENT						GOV													0	190	190	19	4	-10.0	3	1	3	-3.97631133671743	1	Libya	LY	LY		25	17	LY	0								1	Libya	LY	LY		25	17	LY	20171103183000	http://www.politicaldog101.com/tag/andrew-sullivan/
703694990	20161103	201611	2016	2016.8301	IND	KARNATAKA	IND																		1	036	036	03	1	4.0	6	1	6	1.92926045016077	5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	0								5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	20171103183000	https://economictimes.indiatimes.com/news/politics-and-nation/congress-goes-all-out-in-best-bet-karnataka/articleshow/61498941.cms
703694991	20161103	201611	2016	2016.8301	JUD	PROSECUTOR						JUD			AFR	AFRICA	AFR								1	173	173	17	4	-5.0	8	1	8	-5.11900013296104	1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	20171103183000	http://www.nzherald.co.nz/nz/news/article.cfm?c_id=1&objectid=11940051
703694992	20161103	201611	2016	2016.8301	LEG	CONGRESS						LEG			dal	DALIT			dal						1	046	046	04	1	7.0	10	1	10	-1.51515151515152	0								0								0								20171103183000	http://www.dnaindia.com/india/report-gujarat-elections-more-power-to-congress-gujarat-dalit-leader-meets-rahul-gandhi-pledges-to-defeat-bjp-2557558
