705539886	20161110	201611	2016	2016.8493											SPY	INTELLIGENCE COMMUNITY						SPY			0	010	010	01	1	0.0	6	1	6	-2.05223880597015	0								1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20171110020000	https://siliconangle.com/blog/2017/11/09/weaponization-of-social-media-and-search-engines-may-spark-ultimate-cyberwar-cyberconnect/
705539887	20161110	201611	2016	2016.8493											SPY	INTELLIGENCE COMMUNITY						SPY			0	020	020	02	1	3.0	6	1	6	-2.05223880597015	0								1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20171110020000	https://siliconangle.com/blog/2017/11/09/weaponization-of-social-media-and-search-engines-may-spark-ultimate-cyberwar-cyberconnect/
705539888	20161110	201611	2016	2016.8493	BUS	COMPANY						BUS													1	010	010	01	1	0.0	8	1	8	-8.23170731707317	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	0								2	Texas, United States	US	USTX		31.106	-97.6475	TX	20171110020000	http://www.springfieldnewssun.com/business/economy/springfield-employer-reports-76m-hurricane-related-losses/6ucGs1AXw5hucfEAhAY4HO/
705539889	20161110	201611	2016	2016.8493	EDU	LECTURER						EDU			MIL	MILITARY						MIL			1	042	042	04	1	1.9	5	1	5	2.10970464135021	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20171110020000	http://www.chinadaily.com.cn/china/2017-11/10/content_34348245.htm
705539890	20161110	201611	2016	2016.8493	EDU	LECTURER						EDU			MIL	MILITARY						MIL			1	110	110	11	3	-2.0	5	1	5	2.10970464135021	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20171110020000	http://www.chinadaily.com.cn/china/2017-11/10/content_34348245.htm
705539891	20161110	201611	2016	2016.8493	JPN	JAPAN	JPN								USA	THE US	USA								1	051	051	05	1	3.4	1	1	1	2.36406619385343	1	China	CH	CH		35	105	CH	1	Japan	JA	JA		36	138	JA	1	China	CH	CH		35	105	CH	20171110020000	http://www.chinadaily.com.cn/china/2017-11/10/content_34349591.htm
705539892	20161110	201611	2016	2016.8493	JPN	JAPAN	JPN								USA	THE US	USA								1	051	051	05	1	3.4	4	1	4	2.36406619385343	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	20171110020000	http://www.chinadaily.com.cn/china/2017-11/10/content_34349591.htm
705539893	20161110	201611	2016	2016.8493	USA	UNITED STATES	USA																		0	190	190	19	4	-10.0	3	1	3	1.34744947064485	1	Canada	CA	CA		60	-96	CA	0								1	Canada	CA	CA		60	-96	CA	20171110020000	https://seekingalpha.com/article/4123066-sphere-3ds-ceo-eric-kelly-q3-2017-results-earnings-call-transcript
705539894	20161110	201611	2016	2016.8493	USA	THE US	USA								MIL	COAST GUARD						MIL			1	190	190	19	4	-10.0	10	1	10	-2.01005025125628	1	Yemen	YM	YM		15.5	47.5	YM	1	Yemen	YM	YM		15.5	47.5	YM	1	Yemen	YM	YM		15.5	47.5	YM	20171110020000	http://coastguardnews.com/12-coast-guardsmen-receive-navy-combat-action-ribbon/2017/11/09/
705539895	20161110	201611	2016	2016.8493	USA	UNITED STATES	USA								SPY	INTELLIGENCE COMMUNITY						SPY			0	010	010	01	1	0.0	2	1	2	-2.05223880597015	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20171110020000	https://siliconangle.com/blog/2017/11/09/weaponization-of-social-media-and-search-engines-may-spark-ultimate-cyberwar-cyberconnect/
