704297509	20071109	200711	2007	2007.8466	JPN	JAPAN	JPN								USA	UNITED STATES	USA								0	043	043	04	1	2.8	2	1	2	0.53191489361703	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	20171106120000	http://therockstation99x.com/chris-jericho-is-headed-to-japan-for-epic-wrestling-showdown/
704297510	20071109	200711	2007	2007.8466	USA	UNITED STATES	USA								JPN	JAPAN	JPN								0	043	043	04	1	2.8	2	1	2	0.53191489361703	2	New York, United States	US	USNY		42.1497	-74.9384	NY	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	20171106120000	http://therockstation99x.com/chris-jericho-is-headed-to-japan-for-epic-wrestling-showdown/
704297511	20161106	201611	2016	2016.8384	ARE	ABU DHABI	ARE																		1	057	057	05	1	8.0	10	1	10	1.14068441064639	4	Abu Dhabi, Abu Z¸aby, United Arab Emirates	AE	AE01	28568	24.4667	54.3667	-782066	0								1	China	CH	CH		35	105	CH	20171106120000	https://www.hellenicshippingnews.com/chinas-cosco-shipping-breaks-ground-at-khalifa-port/
704297512	20161106	201611	2016	2016.8384	BUS	COMPANY						BUS													0	160	160	16	4	-4.0	10	1	10	-0.27372262773722	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20171106120000	https://www.bloomberg.com/news/articles/2017-11-06/how-many-robots-does-it-take-to-fill-a-grocery-order
704297513	20161106	201611	2016	2016.8384	BUS	COMPANY						BUS			USA	SAN FRANCISCO	USA								0	042	042	04	1	1.9	3	1	3	-2.85913528591353	3	San Francisco, California, United States	US	USCA	CA075	37.7749	-122.419	277593	3	San Francisco, California, United States	US	USCA		37.7749	-122.419	277593	3	San Francisco, California, United States	US	USCA		37.7749	-122.419	277593	20171106120000	https://www.bloomberg.com/news/articles/2017-11-06/airbnb-faces-mega-landlord-aimco-s-ire-over-partying-tourists
704297514	20161106	201611	2016	2016.8384	CRM	CRIMINAL						CRM			EDUEDU	SCHOOL						EDU	EDU		0	090	090	09	2	-2.0	6	1	6	-2.40793201133145	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20171106120000	http://www.fox25boston.com/news/anthony-weiner-to-begin-sentence-at-mass-prison-for-sexing-conviction/640724755
704297515	20161106	201611	2016	2016.8384	GOV	GOVERNMENT						GOV													1	071	071	07	2	7.4	5	1	5	-1.27388535031847	1	Switzerland	SZ	SZ		47	8	SZ	0								1	Switzerland	SZ	SZ		47	8	SZ	20171106120000	RTK TV in Albanian/BBC Monitoring/(c) BBC
704297516	20161106	201611	2016	2016.8384	GOV	GOVERNMENT						GOV			NGA	NIGER DELTA	NGA								1	100	100	10	3	-5.0	12	2	12	-5.34884115511215	4	Escravos, Delta, Nigeria	NI	NI36	191339	5.58006	5.1792	-2006686	4	Forcados, Delta, Nigeria	NI	NI36	22730	5.35886	5.43827	-2007258	4	Escravos, Delta, Nigeria	NI	NI36	191339	5.58006	5.1792	-2006686	20171106120000	http://punchng.com/give-peace-talks-a-chance-community-leaders-beg-niger-delta-avengers/
704297517	20161106	201611	2016	2016.8384	GOV	GOVERNMENT						GOV			USA	NEW YORK	USA								1	010	010	01	1	0.0	10	1	10	0.578034682080925	3	Alexandria Center, New York, United States	US	USNY	NY045	44.3076	-75.8761	942310	3	Alexandria Center, New York, United States	US	USNY		44.3076	-75.8761	942310	3	Alexandria Center, New York, United States	US	USNY		44.3076	-75.8761	942310	20171106120000	https://www.xconomy.com/national/2017/10/24/announcing-new-york-biotech-the-future-is-now-on-dec-11/
704297518	20161106	201611	2016	2016.8384	IRNBUS	IRAN	IRN					BUS			IRN	TEHRAN	IRN								0	163	163	16	4	-8.0	10	1	10	-1.57068062827225	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20171106120000	https://www.cryptocoinsnews.com/iran-lays-groundwork-bitcoin-adoption-soon-possible/
704297519	20161106	201611	2016	2016.8384	NGA	NIGER DELTA	NGA								NER	NIGER	NER								1	100	100	10	3	-5.0	4	2	4	-5.34884115511215	4	Escravos, Delta, Nigeria	NI	NI36	191339	5.58006	5.1792	-2006686	4	Forcados, Delta, Nigeria	NI	NI36	22730	5.35886	5.43827	-2007258	4	Escravos, Delta, Nigeria	NI	NI36	191339	5.58006	5.1792	-2006686	20171106120000	http://punchng.com/give-peace-talks-a-chance-community-leaders-beg-niger-delta-avengers/
704297520	20161106	201611	2016	2016.8384	NGA	NIGER DELTA	NGA								NER	NIGER	NER								1	100	100	10	3	-5.0	2	1	2	-5.02392344497608	1	Benin	BN	BN		9.5	2.25	BN	1	Benin	BN	BN		9.5	2.25	BN	4	Forcados, Delta, Nigeria	NI	NI36	22730	5.35886	5.43827	-2007258	20171106120000	https://www.today.ng/news/nigeria/30211/community-leaders-beg-niger-delta-avengers-peace-talks-chance
