704073743	20161105	201611	2016	2016.8356	EDU	SCHOOL						EDU			USA	LAWRENCE	USA								1	111	111	11	3	-2.0	10	1	10	0.311041990668739	1	Mexico	MX	MX		23	-102	MX	1	Mexico	MX	MX		23	-102	MX	1	Mexico	MX	MX		23	-102	MX	20171105130000	http://www.watertowndailytimes.com/news05/norwood-norfolk-students-apply-curriculum-to-mock-trial-20171105
704073744	20161105	201611	2016	2016.8356	JPN	JAPAN	JPN								GOV	MINIST FOR FOREIGN						GOV			0	020	020	02	1	3.0	2	1	2	-6.12903225806452	1	Cambodia	CB	CB		13	105	CB	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	20171105130000	http://investvine.com/cambodia-pm-unimpressed-potential-western-sanctions/
704073745	20161105	201611	2016	2016.8356	JUD	HIGH COURT						JUD													1	071	071	07	2	7.4	10	1	10	-2.08333333333334	4	Athlone, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.8031	31.031	-1208028	0								4	Athlone, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.8031	31.031	-1208028	20171105130000	https://www.iol.co.za/news/south-africa/western-cape/minstrel-groups-fight-heads-to-court-11864067
704073746	20161105	201611	2016	2016.8356	JUD	HIGH COURT						JUD													1	120	120	12	3	-4.0	10	1	10	-2.08333333333334	4	Athlone, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.8031	31.031	-1208028	0								4	Athlone, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.8031	31.031	-1208028	20171105130000	https://www.iol.co.za/news/south-africa/western-cape/minstrel-groups-fight-heads-to-court-11864067
704073747	20161105	201611	2016	2016.8356	KHM	CAMBODIA	KHM								OPP	MAIN OPPOSITION						OPP			1	060	060	06	2	6.0	10	1	10	-6.12903225806452	1	Cambodia	CB	CB		13	105	CB	1	Cambodia	CB	CB		13	105	CB	1	Cambodia	CB	CB		13	105	CB	20171105130000	http://investvine.com/cambodia-pm-unimpressed-potential-western-sanctions/
704073748	20161105	201611	2016	2016.8356	KHM	CAMBODIA	KHM								OPP	MAIN OPPOSITION						OPP			1	100	100	10	3	-5.0	2	1	2	-6.12903225806452	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	1	Cambodia	CB	CB		13	105	CB	20171105130000	http://investvine.com/cambodia-pm-unimpressed-potential-western-sanctions/
704073749	20161105	201611	2016	2016.8356	KHM	CAMBODIA	KHM								OPP	MAIN OPPOSITION						OPP			1	100	100	10	3	-5.0	8	1	8	-6.12903225806452	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	20171105130000	http://investvine.com/cambodia-pm-unimpressed-potential-western-sanctions/
704073750	20161105	201611	2016	2016.8356	LEG	LAWMAKER						LEG													0	012	012	01	1	-0.4	10	1	10	-4.77272727272728	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	0								2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	20171105130000	https://whyy.org/articles/pa-lawmakers-wolf-administration-poised-fight-jobless-program-funding/
704073751	20161105	201611	2016	2016.8356	LEG	LAWMAKER						LEG													0	071	071	07	2	7.4	10	1	10	-4.77272727272728	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	0								2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	20171105130000	https://whyy.org/articles/pa-lawmakers-wolf-administration-poised-fight-jobless-program-funding/
704073752	20161105	201611	2016	2016.8356	LEG	LAWMAKER						LEG													0	114	114	11	3	-2.0	10	1	10	-4.77272727272728	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	0								2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	20171105130000	https://whyy.org/articles/pa-lawmakers-wolf-administration-poised-fight-jobless-program-funding/
704073753	20161105	201611	2016	2016.8356	SPY	INTELLIGENCE						SPY			USAGOV	BARACK OBAMA	USA					GOV			0	020	020	02	1	3.0	10	1	10	-5.88235294117647	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20171105130000	https://www.nbcnews.com/think/opinion/why-white-house-searching-leakers-instead-hackers-ncna817396
704073754	20171006	201710	2017	2017.7562	AFRMIL	AFRICA	AFR					MIL													1	020	020	02	1	3.0	8	1	8	0	4	Barcelona, Comunidad Autonoma de Cataluna, Spain	SP	SP56	25806	41.3833	2.18333	-372490	0								4	Barcelona, Comunidad Autonoma de Cataluna, Spain	SP	SP56	25806	41.3833	2.18333	-372490	20171105130000	http://www.aircargoweek.com/tiaca-es-astral-start-testing-flyox-drone/
