705573580	20071113	200711	2007	2007.8575	EDU	UNIVERSITY						EDU													1	090	090	09	2	-2.0	10	1	10	-2.39043824701195	0								0								0								20171110053000	http://www.dailytelegraph.com.au/newslocal/manly-daily/huge-waves-smash-manly-beach/news-story/9ca8ce7f1fc76924a2fef02708bf2273?nk=8445b4fe67b3778c8a5184140c301913-1510290997
705573581	20161110	201611	2016	2016.8493											GOV	GOVERNMENT						GOV			1	190	190	19	4	-10.0	5	1	5	-3.04347826086956	0								5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	20171110053000	https://www.aninews.in/news/national/general-news/tipu-jayanti-bjp-leaders-oppose-congress-celebration201711100849490002/
705573582	20161110	201611	2016	2016.8493											GOV	GOVERNMENT						GOV			1	190	190	19	4	-10.0	1	1	1	-3.04347826086956	0								4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	20171110053000	https://www.aninews.in/news/national/general-news/tipu-jayanti-bjp-leaders-oppose-congress-celebration201711100849490002/
705573583	20161110	201611	2016	2016.8493											INDGOV	KARNATAKA	IND					GOV			1	190	190	19	4	-10.0	2	1	2	-3.04347826086956	0								5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	20171110053000	https://www.aninews.in/news/national/general-news/tipu-jayanti-bjp-leaders-oppose-congress-celebration201711100849490002/
705573584	20161110	201611	2016	2016.8493	AUS	AUSTRALIA	AUS								CHN	CHINA	CHN								0	010	010	01	1	0.0	2	1	2	1.49253731343284	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	1	Australia	AS	AS		-25	135	AS	20171110053000	https://economictimes.indiatimes.com/news/international/world-news/its-finally-time-to-make-the-pacific-a-bit-bigger/articleshow/61588344.cms
705573585	20161110	201611	2016	2016.8493	CVL	HUNTER						CVL													0	193	193	19	4	-10.0	3	1	3	0.57088487155091	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	0								2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	20171110053000	http://bismarcktribune.com/news/state-and-regional/n-d-hunters-taking-up-archery-hunting-as-deer-gun/article_9cf832b1-55c5-5f02-9af5-f2d6a0b8321c.html
705573586	20161110	201611	2016	2016.8493	CVL	HUNTER						CVL													0	193	193	19	4	-10.0	2	1	2	0.57088487155091	2	North Dakota, United States	US	USND		47.5362	-99.793	ND	0								2	North Dakota, United States	US	USND		47.5362	-99.793	ND	20171110053000	http://bismarcktribune.com/news/state-and-regional/n-d-hunters-taking-up-archery-hunting-as-deer-gun/article_9cf832b1-55c5-5f02-9af5-f2d6a0b8321c.html
705573587	20161110	201611	2016	2016.8493	EDU	LECTURER						EDU			MIL	MILITARY						MIL			1	042	042	04	1	1.9	5	1	5	2.03619909502263	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20171110053000	http://www.ecns.cn/military/2017/11-10/280395.shtml
705573588	20161110	201611	2016	2016.8493	EDU	LECTURER						EDU			MIL	MILITARY						MIL			1	110	110	11	3	-2.0	5	1	5	2.03619909502263	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20171110053000	http://www.ecns.cn/military/2017/11-10/280395.shtml
705573589	20161110	201611	2016	2016.8493	GOV	GOVERNMENT						GOV													1	190	190	19	4	-10.0	5	1	5	-3.04347826086956	5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	0								5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	20171110053000	https://www.aninews.in/news/national/general-news/tipu-jayanti-bjp-leaders-oppose-congress-celebration201711100849490002/
705573590	20161110	201611	2016	2016.8493	GOV	GOVERNMENT						GOV													1	190	190	19	4	-10.0	1	1	1	-3.04347826086956	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	0								5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	20171110053000	https://www.aninews.in/news/national/general-news/tipu-jayanti-bjp-leaders-oppose-congress-celebration201711100849490002/
