702953710	20161101	201611	2016	2016.8247											UKR	UKRAINE	UKR								0	080	080	08	2	5.0	1	1	1	0.0408163265306101	0								0		GG	GG			42	GG	0		GG	GG			42	GG	20171101130000	http://blog.transnational.org/2017/11/impact-of-european-common-values-on-the-eus-ability-to-solve-conflicts-in-the-countries-of-the-eastern-partnership/
702953711	20161101	201611	2016	2016.8247	FIN	FINLAND	FIN								LAB	UNIONS						LAB			1	030	030	03	1	4.0	10	1	10	-0.93457943925234	4	Helsinki, Eteläuomen Läi, Finland	FI	FI13	16230	60.1756	24.9342	-1364995	4	Helsinki, Eteläuomen Läi, Finland	FI	FI13	16230	60.1756	24.9342	-1364995	4	Helsinki, Eteläuomen Läi, Finland	FI	FI13	16230	60.1756	24.9342	-1364995	20171101130000	http://www.kitco.com/news/2017-11-01/Finnish-economy-set-to-grow-2-3-pct-in-2018-IMF.html
702953712	20161101	201611	2016	2016.8247	GEOGOV	MIKHEIL SAAKASHVILI	GEO					GOV			UKR	UKRAINE	UKR								0	080	080	08	2	5.0	7	1	7	0.0408163265306101	0		GG	GG			42	GG	4	Odessa, Odes'ka Oblast, Ukraine	UP	UP17	28558	46.4639	30.7386	-1049092	4	Odessa, Odes'ka Oblast, Ukraine	UP	UP17	28558	46.4639	30.7386	-1049092	20171101130000	http://blog.transnational.org/2017/11/impact-of-european-common-values-on-the-eus-ability-to-solve-conflicts-in-the-countries-of-the-eastern-partnership/
702953713	20161101	201611	2016	2016.8247	GEOGOV	MIKHEIL SAAKASHVILI	GEO					GOV			UKR	UKRAINE	UKR								0	080	080	08	2	5.0	1	1	1	0.0408163265306101	0		GG	GG			42	GG	0		GG	GG			42	GG	0		GG	GG			42	GG	20171101130000	http://blog.transnational.org/2017/11/impact-of-european-common-values-on-the-eus-ability-to-solve-conflicts-in-the-countries-of-the-eastern-partnership/
702953714	20161101	201611	2016	2016.8247	GOV	EMPEROR						GOV			JPN	JAPANESE	JPN								0	036	036	03	1	4.0	10	1	10	5.41516245487364	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	20171101130000	https://globalnation.inquirer.net/161344/duterte-thanks-japan-emperor-kindness-2016-visit-ph
702953715	20161101	201611	2016	2016.8247	GOV	EMPEROR						GOV			JPN	JAPAN	JPN								0	043	043	04	1	2.8	1	1	1	5.41516245487364	4	Philippine, Benguet, Philippines	RP	RP10	24213	16.45	120.55	-2445611	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	20171101130000	https://globalnation.inquirer.net/161344/duterte-thanks-japan-emperor-kindness-2016-visit-ph
702953716	20161101	201611	2016	2016.8247	GOV	EMPEROR						GOV			PHL	PHILIPPINE	PHL								0	042	042	04	1	1.9	1	1	1	5.41516245487364	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	20171101130000	https://globalnation.inquirer.net/161344/duterte-thanks-japan-emperor-kindness-2016-visit-ph
702953717	20161101	201611	2016	2016.8247	GOV	EMPEROR						GOV			PHL	PHILIPPINE	PHL								0	0833	083	08	2	5.0	1	1	1	5.41516245487364	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	20171101130000	https://globalnation.inquirer.net/161344/duterte-thanks-japan-emperor-kindness-2016-visit-ph
702953718	20161101	201611	2016	2016.8247	JPN	JAPANESE	JPN								GOV	EMPEROR						GOV			0	036	036	03	1	4.0	10	1	10	5.41516245487364	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	20171101130000	https://globalnation.inquirer.net/161344/duterte-thanks-japan-emperor-kindness-2016-visit-ph
702953719	20161101	201611	2016	2016.8247	JPN	JAPAN	JPN								GOV	EMPEROR						GOV			0	042	042	04	1	1.9	1	1	1	5.41516245487364	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	4	Philippine, Benguet, Philippines	RP	RP10	24213	16.45	120.55	-2445611	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	20171101130000	https://globalnation.inquirer.net/161344/duterte-thanks-japan-emperor-kindness-2016-visit-ph
