705219658	20161109	201611	2016	2016.8466											USA	UNITED STATES	USA								0	010	010	01	1	0.0	1	1	1	-6.98412698412698	0								2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	3	Baton Rouge, Louisiana, United States	US	USLA		30.4507	-91.1545	1629914	20171109043000	http://www.theadvocate.com/baton_rouge/news/courts/article_8a3b8fa4-c3fe-11e7-99b1-f3d37a675520.html
705219659	20161109	201611	2016	2016.8466											USA	UNITED STATES	USA								1	110	110	11	3	-2.0	2	1	2	1.46425495262704	0								3	Vinings, Georgia, United States	US	USGA	GA067	33.8648	-84.4644	356615	3	Vinings, Georgia, United States	US	USGA	GA067	33.8648	-84.4644	356615	20171109043000	http://www.mdjonline.com/news/two-democrats-move-on-to-district-runoff/article_d2752512-c4f0-11e7-8442-3f435a53070d.html
705219660	20161109	201611	2016	2016.8466	BUS	BUSINESS						BUS			MED	WEBSITE						MED			1	043	043	04	1	2.8	5	1	5	1.01694915254237	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20171109043000	http://www.climatecontrolnews.com.au/opinion/arc-connects-industry-to-customers
705219661	20161109	201611	2016	2016.8466	LEG	CONGRESS						LEG			GOV	GOVERNMENT						GOV			1	141	141	14	3	-6.5	10	1	10	-5.8601134215501	4	Mahila, Rajasthan, India	IN	IN24	70238	28.9842	74.3117	11432555	4	Mahila, Rajasthan, India	IN	IN24	70238	28.9842	74.3117	11432555	4	Mahila, Rajasthan, India	IN	IN24	70238	28.9842	74.3117	11432555	20171109043000	http://www.netindia123.com/netindia/showdetails.asp?id=3216357&n_date=20171108&cat=India
705219662	20161109	201611	2016	2016.8466	MED	WEBSITE						MED			BUS	BUSINESS						BUS			1	020	020	02	1	3.0	5	1	5	1.01694915254237	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20171109043000	http://www.climatecontrolnews.com.au/opinion/arc-connects-industry-to-customers
705219663	20161109	201611	2016	2016.8466	MED	WEBSITE						MED			BUS	BUSINESS						BUS			1	042	042	04	1	1.9	5	1	5	1.01694915254237	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20171109043000	http://www.climatecontrolnews.com.au/opinion/arc-connects-industry-to-customers
705219664	20161109	201611	2016	2016.8466	TUR	TURKEY	TUR																		0	043	043	04	1	2.8	4	1	4	-0.49164208456244	4	Smyrna, Izmir, Turkey	TU	TU35	27937	38.4104	27.142	-755097	0								4	Smyrna, Izmir, Turkey	TU	TU35	27937	38.4104	27.142	-755097	20171109043000	http://www.mdjonline.com/news/four-races-headed-to-dec-runoff/article_88a70818-c4ed-11e7-8d39-1f9653adbed9.html
705219665	20161109	201611	2016	2016.8466	USA	UNITED STATES	USA																		1	110	110	11	3	-2.0	2	1	2	1.46425495262704	3	Cobb County, Georgia, United States	US	USGA	GA067	33.9334	-84.5666	1686112	0								3	Cobb County, Georgia, United States	US	USGA		33.9334	-84.5666	1686112	20171109043000	http://www.mdjonline.com/news/two-democrats-move-on-to-district-runoff/article_d2752512-c4f0-11e7-8442-3f435a53070d.html
705219666	20161109	201611	2016	2016.8466	USAGOV	HILLARY CLINTON	USA					GOV			RUS	RUSSIA	RUS								1	036	036	03	1	4.0	2	1	2	-2.8	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Rome, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	20171109043000	http://www.kfvs12.com/story/36795962/possible-middle-man-between-trump-campaign-and-russia-vanishes
705219667	20161109	201611	2016	2016.8466	USAGOV	HILLARY CLINTON	USA					GOV			RUS	RUSSIA	RUS								1	036	036	03	1	4.0	8	1	8	-2.8	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20171109043000	http://www.kfvs12.com/story/36795962/possible-middle-man-between-trump-campaign-and-russia-vanishes
