703779930	20161104	201611	2016	2016.8329											MNCUSA	DISNEY	USA					MNC			0	190	190	19	4	-10.0	10	1	10	-1.53321976149915	0								5	Otago, Otago, New Zealand	NZ	NZF7	22391	-45.25	169.5	11483306	5	Otago, Otago, New Zealand	NZ	NZF7	22391	-45.25	169.5	11483306	20171104011500	http://www.nzherald.co.nz/business/news/article.cfm?c_id=3&objectid=11940469
703779931	20161104	201611	2016	2016.8329	AGR	FARMER						AGR													0	016	016	01	1	-2.0	6	1	6	-2.95774647887324	4	South River, Ontario, Canada	CA	CA08	12673	45.85	-79.3667	-573950	0								4	South River, Ontario, Canada	CA	CA08	12673	45.85	-79.3667	-573950	20171104011500	https://www.northbaynipissing.com/news-story/7772364-boushie-family-unhappy-rcmp-officers-cleared/
703779932	20161104	201611	2016	2016.8329	AGR	FARMER						AGR													0	173	173	17	4	-5.0	10	1	10	-2.95774647887324	4	South River, Ontario, Canada	CA	CA08	12673	45.85	-79.3667	-573950	0								4	South River, Ontario, Canada	CA	CA08	12673	45.85	-79.3667	-573950	20171104011500	https://www.northbaynipissing.com/news-story/7772364-boushie-family-unhappy-rcmp-officers-cleared/
703779933	20161104	201611	2016	2016.8329	AGR	FARMER						AGR													0	190	190	19	4	-10.0	6	1	6	-2.95774647887324	4	South River, Ontario, Canada	CA	CA08	12673	45.85	-79.3667	-573950	0								4	South River, Ontario, Canada	CA	CA08	12673	45.85	-79.3667	-573950	20171104011500	https://www.northbaynipissing.com/news-story/7772364-boushie-family-unhappy-rcmp-officers-cleared/
703779934	20161104	201611	2016	2016.8329	AGR	FARMER						AGR			CAN	CANADA	CAN								0	016	016	01	1	-2.0	4	1	4	-2.95774647887324	4	South River, Ontario, Canada	CA	CA08	12673	45.85	-79.3667	-573950	4	South River, Ontario, Canada	CA	CA08	12673	45.85	-79.3667	-573950	4	South River, Ontario, Canada	CA	CA08	12673	45.85	-79.3667	-573950	20171104011500	https://www.northbaynipissing.com/news-story/7772364-boushie-family-unhappy-rcmp-officers-cleared/
703779935	20161104	201611	2016	2016.8329	AGR	FARMER						AGR			CAN	CANADA	CAN								0	190	190	19	4	-10.0	4	1	4	-2.95774647887324	4	South River, Ontario, Canada	CA	CA08	12673	45.85	-79.3667	-573950	4	South River, Ontario, Canada	CA	CA08	12673	45.85	-79.3667	-573950	4	South River, Ontario, Canada	CA	CA08	12673	45.85	-79.3667	-573950	20171104011500	https://www.northbaynipissing.com/news-story/7772364-boushie-family-unhappy-rcmp-officers-cleared/
703779936	20161104	201611	2016	2016.8329	EDU	STUDENT						EDU													0	110	110	11	3	-2.0	10	1	10	-6.67976424361493	1	Greece	GR	GR		39	22	GR	0								1	Greece	GR	GR		39	22	GR	20171104011500	http://www.northbynorthwestern.com/story/students-demonstrate-against-rape-culture-in-greek/
703779937	20161104	201611	2016	2016.8329	FRA	FRENCH	FRA								FRAGOV	FRANCE	FRA					GOV			1	036	036	03	1	4.0	2	1	2	5.67010309278351	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20171104011500	http://www.thestatesman.com/india/frances-macron-visit-india-early-2018-1502522345.html
703779938	20161104	201611	2016	2016.8329	FRA	FRENCH	FRA								FRAGOV	FRANCE	FRA					GOV			1	036	036	03	1	4.0	2	1	2	5.67010309278351	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	1	India	IN	IN		20	77	IN	20171104011500	http://www.thestatesman.com/india/frances-macron-visit-india-early-2018-1502522345.html
703779939	20161104	201611	2016	2016.8329	FRA	FRENCH	FRA								FRAGOV	FRANCE	FRA					GOV			1	040	040	04	1	1.0	4	1	4	5.67010309278351	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	1	India	IN	IN		20	77	IN	20171104011500	http://www.thestatesman.com/india/frances-macron-visit-india-early-2018-1502522345.html
703779940	20161104	201611	2016	2016.8329	FRAGOV	FRENCH	FRA					GOV													1	040	040	04	1	1.0	6	1	6	5.67010309278351	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	0								1	India	IN	IN		20	77	IN	20171104011500	http://www.thestatesman.com/india/frances-macron-visit-india-early-2018-1502522345.html
703779941	20161104	201611	2016	2016.8329	PTY	POLITICIAN									CVL	CITIZEN						CVL			1	1031	103	10	3	-5.0	5	1	5	-0.40871934604905	0								0								0								20171104011500	https://www.hopestandard.com/news/pay-hike-approved-for-fraser-valley-regional-district-politicians/
