705700513	20161110	201611	2016	2016.8493											BRB	BARBADOS	BRB								0	014	014	01	1	0.0	1	1	1	1.47710487444609	0								4	Holetown, Saint James, Barbados	BB	BB04		13.1833	-59.65	-1393531	4	Holetown, Saint James, Barbados	BB	BB04		13.1833	-59.65	-1393531	20171110143000	http://www.nationnews.com/nationnews/news/101976/clarke-sax
705700514	20161110	201611	2016	2016.8493											BUS	BANK						BUS			0	042	042	04	1	1.9	5	1	5	-2.75229357798165	0								4	Patna, Bihar, India	IN	IN34	17632	25.6	85.1167	-2107500	4	Patna, Bihar, India	IN	IN34	17632	25.6	85.1167	-2107500	20171110143000	http://www.prokerala.com/news/articles/a786640.html
705700515	20161110	201611	2016	2016.8493	BUS	BANK						BUS													0	043	043	04	1	2.8	5	1	5	-2.75229357798165	4	Patna, Bihar, India	IN	IN34	17632	25.6	85.1167	-2107500	0								4	Patna, Bihar, India	IN	IN34	17632	25.6	85.1167	-2107500	20171110143000	http://www.prokerala.com/news/articles/a786640.html
705700516	20161110	201611	2016	2016.8493	BUS	COMPANY						BUS													0	045	045	04	1	5.0	6	1	6	0.87847730600293	1	Canada	CA	CA		60	-96	CA	0								1	Canada	CA	CA		60	-96	CA	20171110143000	http://www.mortgagebrokernews.ca/news/centum-gearing-up-to-upend-industry-233720.aspx
705700517	20161110	201611	2016	2016.8493	BUS	COMPANY						BUS			CAN	CANADA	CAN								0	045	045	04	1	5.0	2	1	2	0.87847730600293	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	20171110143000	http://www.mortgagebrokernews.ca/news/centum-gearing-up-to-upend-industry-233720.aspx
705700518	20161110	201611	2016	2016.8493	CVL	COMMUNITY						CVL			USA	UNITED STATES	USA								1	051	051	05	1	3.4	4	1	4	2.5974025974026	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	20171110143000	http://www.newsargus.com/news/archives/2017/11/10/a_little_appreciation_goes_a_long_way/
705700519	20161110	201611	2016	2016.8493	EDU	SCHOOL						EDU													0	180	180	18	4	-9.0	5	1	5	-0.95911155981828	1	Australia	AS	AS		-25	135	AS	0								1	Australia	AS	AS		-25	135	AS	20171110143000	http://www.theaustralian.com.au/news/inquirer/child-custody-one-mothers-bitter-lesson-in-sharing-the-kids-with-dad/news-story/0807089cbc513954c6ebe68f1a726431?nk=815b00ee208295729837550f647ddd09-1510323576
705700520	20161110	201611	2016	2016.8493	FJI	FIJI	FJI								ELI	ACTOR						ELI			1	012	012	01	1	-0.4	2	1	2	1.69133192389006	4	Warsaw, (PL67), Poland	PL	PL67	24452	52.25	21	-534433	4	Warsaw, (PL67), Poland	PL	PL67	24452	52.25	21	-534433	4	Warsaw, (PL67), Poland	PL	PL67	24452	52.25	21	-534433	20171110143000	http://wwf.panda.org/wwf_news/?uNewsID=316250
705700521	20161110	201611	2016	2016.8493	FJI	FIJI	FJI								ELI	ACTOR						ELI			1	020	020	02	1	3.0	2	1	2	1.69133192389006	1	Fiji	FJ	FJ		-18	178	FJ	1	Fiji	FJ	FJ		-18	178	FJ	1	Fiji	FJ	FJ		-18	178	FJ	20171110143000	http://wwf.panda.org/wwf_news/?uNewsID=316250
705700522	20161110	201611	2016	2016.8493	GHA	GHANA	GHA																		0	070	070	07	2	7.0	2	1	2	0.28860028860029	4	Asutifi, Ghana (general), Ghana	GH	GH00	16853	7.20973	-2.80825	-2067705	0								4	Asutifi, Ghana (general), Ghana	GH	GH00	16853	7.20973	-2.80825	-2067705	20171110143000	http://www.gbcghana.com/1.11444913
705700523	20161110	201611	2016	2016.8493	JPN	JAPAN	JPN								ELI	ACTOR						ELI			1	012	012	01	1	-0.4	3	1	3	1.69133192389006	4	Warsaw, (PL67), Poland	PL	PL67	24452	52.25	21	-534433	4	Warsaw, (PL67), Poland	PL	PL67	24452	52.25	21	-534433	4	Warsaw, (PL67), Poland	PL	PL67	24452	52.25	21	-534433	20171110143000	http://wwf.panda.org/wwf_news/?uNewsID=316250
705700524	20161110	201611	2016	2016.8493	JPN	JAPAN	JPN								ELI	ACTOR						ELI			1	020	020	02	1	3.0	2	1	2	1.69133192389006	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20171110143000	http://wwf.panda.org/wwf_news/?uNewsID=316250
