704610337	20071110	200711	2007	2007.8493	CHN	CHINA	CHN								USA	UNITED STATES	USA								0	061	061	06	2	6.4	2	1	2	0	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20171107110000	http://news.xinhuanet.com/english/2017-11/07/c_136734483.htm
704610338	20071110	200711	2007	2007.8493	CHN	CHINA	CHN								USA	UNITED STATES	USA								0	061	061	06	2	6.4	2	1	2	0	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	1	United States	US	US		39.828175	-98.5795	US	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20171107110000	http://news.xinhuanet.com/english/2017-11/07/c_136734483.htm
704610339	20071110	200711	2007	2007.8493	CHN	CHINA	CHN								USA	UNITED STATES	USA								0	061	061	06	2	6.4	6	1	6	0	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20171107110000	http://news.xinhuanet.com/english/2017-11/07/c_136734483.htm
704610340	20071110	200711	2007	2007.8493	USA	NEBRASKA	USA																		0	061	061	06	2	6.4	1	1	1	0.76335877862595	2	Nebraska, United States	US	USNE		41.1289	-98.2883	NE	0								4	Han Fang, Jiangxi, China	CH	CH03	13163	25.4888	115.093	-1908336	20171107110000	http://news.xinhuanet.com/english/2017-11/07/c_136734414.htm
704610341	20071110	200711	2007	2007.8493	USA	NEBRASKA	USA																		0	061	061	06	2	6.4	1	1	1	0.76335877862595	2	Nebraska, United States	US	USNE		41.1289	-98.2883	NE	0								2	Nebraska, United States	US	USNE		41.1289	-98.2883	NE	20171107110000	http://news.xinhuanet.com/english/2017-11/07/c_136734414.htm
704610342	20161107	201611	2016	2016.8411	EDU	ECONOMIST						EDU													1	010	010	01	1	0.0	10	1	10	-5.64617314930991	4	Ahmedabad, Gujarat, India	IN	IN09	17644	23.0333	72.6167	-2088270	0								4	Ahmedabad, Gujarat, India	IN	IN09	17644	23.0333	72.6167	-2088270	20171107110000	http://www.thenewsminute.com/article/twin-blow-demonetisation-and-gst-complete-disaster-economy-manmohan-singh-71222
704610343	20161107	201611	2016	2016.8411	IRN	IRANIAN	IRN								GBR	UNITED KINGDOM	GBR								1	173	173	17	4	-5.0	4	1	4	-6.19136960600375	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20171107110000	https://www.thesun.co.uk/news/4649924/nazanin-zaghari-ratcliffe-british-iran-jail-prison-husband-daughter-boris-johnson/
704610344	20161107	201611	2016	2016.8411	IRNCOP	IRANIAN	IRN					COP			GBR	UNITED KINGDOM	GBR								1	173	173	17	4	-5.0	4	1	4	-6.19136960600375	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20171107110000	https://www.thesun.co.uk/news/4649924/nazanin-zaghari-ratcliffe-british-iran-jail-prison-husband-daughter-boris-johnson/
704610345	20161107	201611	2016	2016.8411	IRNCOP	IRAN	IRN					COP			GBR	UNITED KINGDOM	GBR								1	173	173	17	4	-5.0	2	1	2	-6.19136960600375	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20171107110000	https://www.thesun.co.uk/news/4649924/nazanin-zaghari-ratcliffe-british-iran-jail-prison-husband-daughter-boris-johnson/
704610346	20161107	201611	2016	2016.8411	IRNCOP	IRANIAN	IRN					COP			IRN	IRAN	IRN								1	173	173	17	4	-5.0	6	1	6	-6.19136960600375	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20171107110000	https://www.thesun.co.uk/news/4649924/nazanin-zaghari-ratcliffe-british-iran-jail-prison-husband-daughter-boris-johnson/
