704784942	20161107	201611	2016	2016.8411											CYP	CYPRUS	CYP								1	036	036	03	1	4.0	10	1	10	0.369003690036899	0								4	Tornos, Paphos, Cyprus	CY	CY06	14811	35.0083	32.6125	-3812796	4	Tornos, Paphos, Cyprus	CY	CY06	14811	35.0083	32.6125	-3812796	20171107221500	http://www.tornosnews.gr/en/tourism-businesses/markets/28029-cyprus-makes-play-at-london-world-travel-market-2017-show-for-more-tourists.html
704784943	20161107	201611	2016	2016.8411											CYP	CYPRUS	CYP								1	042	042	04	1	1.9	10	1	10	0.369003690036899	0								4	Tornos, Paphos, Cyprus	CY	CY06	14811	35.0083	32.6125	-3812796	4	Tornos, Paphos, Cyprus	CY	CY06	14811	35.0083	32.6125	-3812796	20171107221500	http://www.tornosnews.gr/en/tourism-businesses/markets/28029-cyprus-makes-play-at-london-world-travel-market-2017-show-for-more-tourists.html
704784944	20161107	201611	2016	2016.8411											LEGGOV	SENATE						LEG	GOV		0	040	040	04	1	1.0	3	1	3	-1.26903553299492	0								2	Idaho, United States	US	USID		44.2394	-114.51	ID	2	Idaho, United States	US	USID		44.2394	-114.51	ID	20171107221500	https://www.idahopress.com/opinion/columnists/trump-bashing-works-only-for-dems-and-lame-ducks/article_ffc5aeef-f37d-577c-9807-541e91a78a8c.html
704784945	20161107	201611	2016	2016.8411											LEGGOV	SENATE						LEG	GOV		0	040	040	04	1	1.0	1	1	1	-1.26903553299492	0								2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	2	Idaho, United States	US	USID		44.2394	-114.51	ID	20171107221500	https://www.idahopress.com/opinion/columnists/trump-bashing-works-only-for-dems-and-lame-ducks/article_ffc5aeef-f37d-577c-9807-541e91a78a8c.html
704784946	20161107	201611	2016	2016.8411											LEGGOV	SENATE						LEG	GOV		0	040	040	04	1	1.0	1	1	1	-1.26903553299492	0								2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	20171107221500	https://www.idahopress.com/opinion/columnists/trump-bashing-works-only-for-dems-and-lame-ducks/article_ffc5aeef-f37d-577c-9807-541e91a78a8c.html
704784947	20161107	201611	2016	2016.8411	AUS	AUSTRALIAN	AUS								EDU	INTELLECTUAL						EDU			1	020	020	02	1	3.0	2	1	2	-1.87667560321716	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20171107221500	https://torrentfreak.com/mpaa-warns-australia-not-mess-with-fair-use-and-geo-blocking-171107/
704784948	20161107	201611	2016	2016.8411	CHN	CHINA	CHN																		1	145	145	14	3	-7.5	4	1	4	-5.57491289198606	1	China	CH	CH		35	105	CH	0								1	China	CH	CH		35	105	CH	20171107221500	http://www.deccanherald.com/content/641635/cong-bjp-trade-barbs-over.html
704784949	20161107	201611	2016	2016.8411	CYP	CYPRUS	CYP																		1	036	036	03	1	4.0	10	1	10	0.369003690036899	4	Tornos, Paphos, Cyprus	CY	CY06	14811	35.0083	32.6125	-3812796	0								4	Tornos, Paphos, Cyprus	CY	CY06	14811	35.0083	32.6125	-3812796	20171107221500	http://www.tornosnews.gr/en/tourism-businesses/markets/28029-cyprus-makes-play-at-london-world-travel-market-2017-show-for-more-tourists.html
704784950	20161107	201611	2016	2016.8411	ISR	ISRAEL	ISR								USA	UNITED STATES	USA								1	036	036	03	1	4.0	2	1	2	-2	1	Israel	IS	IS		31.5	34.75	IS	2	New York, United States	US	USNY		42.1497	-74.9384	NY	1	Israel	IS	IS		31.5	34.75	IS	20171107221500	http://www.jerusalemonline.com/news/world-news/the-israeli-connection/report-weinstein-heard-about-black-cube-from-former-pm-barak-32262
704784951	20161107	201611	2016	2016.8411	JUD	ATTORNEY						JUD													0	100	100	10	3	-5.0	5	1	5	-11.0367892976589	3	Reno, Nevada, United States	US	USNV	NV031	39.5296	-119.814	861100	0								3	Reno, Nevada, United States	US	USNV	NV031	39.5296	-119.814	861100	20171107221500	http://www.rgj.com/story/news/2017/11/07/reno-man-sent-55-years-prison-stabbing-man-his-sleep/841076001/
