704886514	20161108	201611	2016	2016.8438	BUS	COMPANY						BUS			CRM	DEALER						CRM			1	020	020	02	1	3.0	5	1	5	1.13636363636364	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20171108053000	http://www.tirebusiness.com/article/20171107/NEWS/171109950/acquisitions-expansions-highlight-wholesalers-business-year
704886515	20161108	201611	2016	2016.8438	BWA	BOTSWANA	BWA								MED	BLOG						MED			1	043	043	04	1	2.8	12	2	12	-0.10548523206751	1	Botswana	BC	BC		-22	24	BC	1	Namibia	WA	WA		-22	17	WA	1	Namibia	WA	WA		-22	17	WA	20171108053000	http://www.whig.com/article/20171107/AP/311079915
704886516	20161108	201611	2016	2016.8438	BWA	BOTSWANA	BWA								MED	BLOG						MED			1	043	043	04	1	2.8	8	2	8	-0.10548523206751	1	Namibia	WA	WA		-22	17	WA	1	Namibia	WA	WA		-22	17	WA	1	Namibia	WA	WA		-22	17	WA	20171108053000	http://www.whig.com/article/20171107/AP/311079915
704886517	20161108	201611	2016	2016.8438	CANEDU	CANADA	CAN					EDU			EDU	SCHOOL						EDU			1	084	084	08	2	7.0	12	1	12	-1.22591943957969	4	Nanaimo, British Columbia, Canada	CA	CA02	12556	49.15	-123.917	-569908	4	Nanaimo, British Columbia, Canada	CA	CA02	12556	49.15	-123.917	-569908	4	Nanaimo, British Columbia, Canada	CA	CA02	12556	49.15	-123.917	-569908	20171108053000	https://www.nanaimobulletin.com/news/school-enrolment-on-the-rise-in-nanaimo/
704886518	20161108	201611	2016	2016.8438	CANEDU	CANADA	CAN					EDU			GOVEDU	MINIST OF EDUCATION						GOV	EDU		1	071	071	07	2	7.4	12	1	12	-1.22591943957969	4	Nanaimo, British Columbia, Canada	CA	CA02	12556	49.15	-123.917	-569908	4	Nanaimo, British Columbia, Canada	CA	CA02	12556	49.15	-123.917	-569908	4	Nanaimo, British Columbia, Canada	CA	CA02	12556	49.15	-123.917	-569908	20171108053000	https://www.nanaimobulletin.com/news/school-enrolment-on-the-rise-in-nanaimo/
704886519	20161108	201611	2016	2016.8438	EDU	SCHOOL						EDU			GOVEDU	MINIST OF EDUCATION						GOV	EDU		1	071	071	07	2	7.4	2	1	2	-1.22591943957969	4	Nanaimo, British Columbia, Canada	CA	CA02	12556	49.15	-123.917	-569908	4	Nanaimo, British Columbia, Canada	CA	CA02	12556	49.15	-123.917	-569908	4	Nanaimo, British Columbia, Canada	CA	CA02	12556	49.15	-123.917	-569908	20171108053000	https://www.nanaimobulletin.com/news/school-enrolment-on-the-rise-in-nanaimo/
704886520	20161108	201611	2016	2016.8438	EDU	SCHOOL						EDU			GOVEDU	MINIST OF EDUCATION						GOV	EDU		1	084	084	08	2	7.0	2	1	2	-1.22591943957969	4	Nanaimo, British Columbia, Canada	CA	CA02	12556	49.15	-123.917	-569908	4	Nanaimo, British Columbia, Canada	CA	CA02	12556	49.15	-123.917	-569908	4	Nanaimo, British Columbia, Canada	CA	CA02	12556	49.15	-123.917	-569908	20171108053000	https://www.nanaimobulletin.com/news/school-enrolment-on-the-rise-in-nanaimo/
704886521	20161108	201611	2016	2016.8438	ETH	ETHIOPIA	ETH								PRKGOV	NORTH KOREA	PRK					GOV			0	173	173	17	4	-5.0	2	1	2	-3.45963756177924	4	Pyongyang, P'yongyang-si, North Korea	KN	KN12	39681	39.0194	125.755	-183459	4	Pyongyang, P'yongyang-si, North Korea	KN	KN12	39681	39.0194	125.755	-183459	4	Pyongyang, P'yongyang-si, North Korea	KN	KN12	39681	39.0194	125.755	-183459	20171108053000	https://www3.nhk.or.jp/nhkworld/en/news/editors/1/nkoreastiestoafricahelpitbypassunsanctions/
704886522	20161108	201611	2016	2016.8438	ETH	ETHIOPIA	ETH								PRKGOV	NORTH KOREAN	PRK					GOV			0	173	173	17	4	-5.0	3	1	3	-3.45963756177924	1	Ethiopia	ET	ET		8	38	ET	4	Pyongyang, P'yongyang-si, North Korea	KN	KN12	39681	39.0194	125.755	-183459	4	Pyongyang, P'yongyang-si, North Korea	KN	KN12	39681	39.0194	125.755	-183459	20171108053000	https://www3.nhk.or.jp/nhkworld/en/news/editors/1/nkoreastiestoafricahelpitbypassunsanctions/
704886523	20161108	201611	2016	2016.8438	ETH	ETHIOPIA	ETH								PRKGOV	NORTH KOREA	PRK					GOV			0	173	173	17	4	-5.0	2	1	2	-3.45963756177924	1	Ethiopia	ET	ET		8	38	ET	4	Pyongyang, P'yongyang-si, North Korea	KN	KN12	39681	39.0194	125.755	-183459	1	Ethiopia	ET	ET		8	38	ET	20171108053000	https://www3.nhk.or.jp/nhkworld/en/news/editors/1/nkoreastiestoafricahelpitbypassunsanctions/
