704965312	20161108	201611	2016	2016.8438											nai	NATIVE AMERICAN			nai						0	020	020	02	1	3.0	4	1	4	-3.46774193548387	0								3	Albuquerque, New Mexico, United States	US	USNM	NM001	35.0845	-106.651	928679	3	Albuquerque, New Mexico, United States	US	USNM	NM001	35.0845	-106.651	928679	20171108113000	http://www.sfreporter.com/news/2017/11/08/justice-undone/
704965313	20161108	201611	2016	2016.8438	AFR	AFRICA	AFR																		1	020	020	02	1	3.0	4	1	4	-6.76532769556026	4	Roodepoort, Free State, South Africa	SF	SF03	77328	-27.1667	28.1667	-1278009	0								4	Roodepoort, Free State, South Africa	SF	SF03	77328	-27.1667	28.1667	-1278009	20171108113000	https://joburg.org.za/index.php?option=com_content&view=article&id=12154&catid=88&Itemid=266
704965314	20161108	201611	2016	2016.8438	CHR	CHRISTIAN				CHR					MOS	ISLAMIC				MOS					0	046	046	04	1	7.0	10	1	10	-2.90322580645162	4	Kerala, Konar, Afghanistan	AF	AF34	99934	34.8764	71.1559	-3379923	4	Kerala, Konar, Afghanistan	AF	AF34	99934	34.8764	71.1559	-3379923	4	Kerala, Konar, Afghanistan	AF	AF34	99934	34.8764	71.1559	-3379923	20171108113000	http://www.business-standard.com/article/pti-stories/ncw-chairperson-meets-kerala-dgp-on-forceful-conversions-117110800796_1.html
704965315	20161108	201611	2016	2016.8438	MIL	SERVICEMAN						MIL													1	110	110	11	3	-2.0	8	1	8	-3.73333333333333	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	0								4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20171108113000	https://www.aninews.in/news/national/general-news/demonetisation-anniversary-rahul-bjp-fight-it-out-over-ex-serviceman-crying-in-queue201711081635090002/
704965316	20161108	201611	2016	2016.8438	MNCJPN	PANASONIC	JPN					MNC													1	017	017	01	1	0.0	10	1	10	2.40549828178694	1	United States	US	US		39.828175	-98.5795	US	0								1	United States	US	US		39.828175	-98.5795	US	20171108113000	https://www.cbsnews.com/news/advice-on-getting-hired-from-someone-hiring-3000-people-for-panasonic-this-year/
704965317	20161108	201611	2016	2016.8438	MOS	ISLAMIC				MOS					CHR	CHRISTIAN				CHR					0	046	046	04	1	7.0	10	1	10	-2.90322580645162	4	Kerala, Konar, Afghanistan	AF	AF34	99934	34.8764	71.1559	-3379923	4	Kerala, Konar, Afghanistan	AF	AF34	99934	34.8764	71.1559	-3379923	4	Kerala, Konar, Afghanistan	AF	AF34	99934	34.8764	71.1559	-3379923	20171108113000	http://www.business-standard.com/article/pti-stories/ncw-chairperson-meets-kerala-dgp-on-forceful-conversions-117110800796_1.html
704965318	20161108	201611	2016	2016.8438	PTY	PRESIDENTIAL CANDIDATE									GOV	PRESIDENT						GOV			1	120	120	12	3	-4.0	8	1	8	-1.3550135501355	3	Poughkeepsie, New York, United States	US	USNY	NY027	41.7004	-73.921	961058	3	Poughkeepsie, New York, United States	US	USNY	NY027	41.7004	-73.921	961058	3	Poughkeepsie, New York, United States	US	USNY	NY027	41.7004	-73.921	961058	20171108113000	http://www.poughkeepsiejournal.com/story/news/local/new-york/2017/11/08/election-day-4-takeaways-new-york/107456158/
704965319	20161108	201611	2016	2016.8438	PTY	PRESIDENTIAL CANDIDATE									USAGOV	UNITED STATES	USA					GOV			1	120	120	12	3	-4.0	2	1	2	-1.3550135501355	3	Poughkeepsie, New York, United States	US	USNY	NY027	41.7004	-73.921	961058	3	Poughkeepsie, New York, United States	US	USNY	NY027	41.7004	-73.921	961058	3	Poughkeepsie, New York, United States	US	USNY	NY027	41.7004	-73.921	961058	20171108113000	http://www.poughkeepsiejournal.com/story/news/local/new-york/2017/11/08/election-day-4-takeaways-new-york/107456158/
704965320	20161108	201611	2016	2016.8438	RUS	RUSSIA	RUS								USA	UNITED STATES	USA								1	042	042	04	1	1.9	2	2	2	-5.48780487804878	4	Sochi, Krasnodarskiy Kray, Russia	RS	RS38	25065	43.5992	39.7257	-3006514	1	United States	US	US		39.828175	-98.5795	US	4	Sochi, Krasnodarskiy Kray, Russia	RS	RS38	25065	43.5992	39.7257	-3006514	20171108113000	http://team921fm.com/news/articles/2017/nov/08/russia-wants-us-to-extradite-doping-whistleblower-investigators/
704965321	20161108	201611	2016	2016.8438	RUS	RUSSIA	RUS								USA	UNITED STATES	USA								1	042	042	04	1	1.9	8	2	8	-5.48780487804878	4	Sochi, Krasnodarskiy Kray, Russia	RS	RS38	25065	43.5992	39.7257	-3006514	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20171108113000	http://team921fm.com/news/articles/2017/nov/08/russia-wants-us-to-extradite-doping-whistleblower-investigators/
