704162750	20161106	201611	2016	2016.8384											EDU	STUDENT						EDU			1	043	043	04	1	2.8	20	1	20	0.665188470066519	0								4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	20171106000000	http://www.illawarramercury.com.au/story/5035645/where-do-families-in-your-area-send-their-kids-to-school/?cs=300
704162751	20161106	201611	2016	2016.8384	BUS	BUSINESS						BUS			CVL	SETTLEMENT						CVL			1	160	160	16	4	-4.0	8	1	8	-0.28409090909091	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20171106000000	http://www.thebull.com.au/articles/a/70550-orica-profit-stable-amid-challenges.html
704162752	20161106	201611	2016	2016.8384	CVL	VILLAGE						CVL													0	081	081	08	2	5.0	15	5	15	-2.67763577571985	2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	0								2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	20171106000000	http://weartv.com/news/offbeat/booze-on-the-ballot-utah-dry-town-mulls-allowing-alcohol
704162753	20161106	201611	2016	2016.8384	CVL	VOTER						CVL													0	172	172	17	4	-5.0	15	5	15	-2.67763577571985	2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	0								2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	20171106000000	http://weartv.com/news/offbeat/booze-on-the-ballot-utah-dry-town-mulls-allowing-alcohol
704162754	20161106	201611	2016	2016.8384	CVL	VOTER						CVL			USA	WISCONSIN	USA								0	172	172	17	4	-5.0	25	5	25	-2.67763577571985	2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	20171106000000	http://weartv.com/news/offbeat/booze-on-the-ballot-utah-dry-town-mulls-allowing-alcohol
704162755	20161106	201611	2016	2016.8384	EDU	STUDENT						EDU													1	042	042	04	1	1.9	20	1	20	0.665188470066519	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	0								4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	20171106000000	http://www.illawarramercury.com.au/story/5035645/where-do-families-in-your-area-send-their-kids-to-school/?cs=300
704162756	20161106	201611	2016	2016.8384	ITA	SICILY	ITA																		1	013	013	01	1	0.4	2	1	2	0.581395348837209	5	Sicily, Sicilia, Italy	IT	IT15	18395	37.75	14.25	-129695	0								4	Rome, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	20171106000000	http://www.stltoday.com/news/world/exit-polls-show-tight-sicily-race-for-center-right-/article_a2a2f6a4-b914-525c-8f36-7c9ad95741a6.html
704162757	20161106	201611	2016	2016.8384	ITA	SICILY	ITA																		1	013	013	01	1	0.4	30	3	30	0.618192180824077	5	Sicily, Sicilia, Italy	IT	IT15	18395	37.75	14.25	-129695	0								5	Sicily, Sicilia, Italy	IT	IT15	18395	37.75	14.25	-129695	20171106000000	http://missoulian.com/news/world/exit-polls-show-tight-sicily-race-for-center-right-/article_b255920e-ff0a-552a-acbe-c067b8a1ac25.html
704162758	20161106	201611	2016	2016.8384	LEGLEG	CONGRESS						LEG	LEG												1	160	160	16	4	-4.0	10	1	10	-2.82051282051282	0								0								0								20171106000000	http://www.sentinelassam.com/story/news/9/bjp-seeks-judicial-probe-into-academic-irregularities-in-tripura/2017-11-06/1/325050
704162759	20161106	201611	2016	2016.8384	LEGLEG	CONGRESS						LEG	LEG		OPP	ELECTORAL ALLIANCE						OPP			1	140	140	14	3	-6.5	10	1	10	-2.82051282051282	0								0								0								20171106000000	http://www.sentinelassam.com/story/news/9/bjp-seeks-judicial-probe-into-academic-irregularities-in-tripura/2017-11-06/1/325050
