704837179	20161108	201611	2016	2016.8438											IGOEUREEC	THE EU	EUR	EEC				IGO			0	130	130	13	3	-4.4	6	1	6	2.0253164556962	0								1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20171108014500	http://www.dailymail.co.uk/money/markets/article-5059491/Twinings-tea-maker-cheers-export-boom.html
704837180	20161108	201611	2016	2016.8438											MED	MEDIA						MED			1	190	190	19	4	-10.0	10	1	10	-1.65745856353591	0								5	Tamil Nadu, Tamil Nadu, India	IN	IN25	70248	11	78	-2112557	5	Tamil Nadu, Tamil Nadu, India	IN	IN25	70248	11	78	-2112557	20171108014500	https://www.americanbazaaronline.com/2017/11/07/hell-is-here-from-west-bengal-wins-the-sanctuary-wildlife-photography-awards-2017/
704837181	20161108	201611	2016	2016.8438	BUS	COMPANIES						BUS													1	031	031	03	1	5.2	10	1	10	-0.11098779134295	3	Cripple Creek, Colorado, United States	US	USCO	CO119	38.7467	-105.178	204769	0								3	Cripple Creek, Colorado, United States	US	USCO		38.7467	-105.178	204769	20171108014500	http://www.chieftain.com/business/localbusiness/cripple-creek-eyes-ritzy-hotel/article_a672a1f5-6b42-5f75-b2e6-ce614750e711.html
704837182	20161108	201611	2016	2016.8438	CHN	CHINA	CHN																		1	070	070	07	2	7.0	2	1	2	-0.76103500761035	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20171108014500	http://www.scmp.com/property/hong-kong-china/article/2118672/childrens-education-drives-chinese-demand-uk-property
704837183	20161108	201611	2016	2016.8438	CHN	CHINESE	CHN																		1	070	070	07	2	7.0	1	1	1	-0.76103500761035	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	0								4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20171108014500	http://www.scmp.com/property/hong-kong-china/article/2118672/childrens-education-drives-chinese-demand-uk-property
704837184	20161108	201611	2016	2016.8438	CHN	CHINESE	CHN																		1	070	070	07	2	7.0	5	1	5	-0.76103500761035	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20171108014500	http://www.scmp.com/property/hong-kong-china/article/2118672/childrens-education-drives-chinese-demand-uk-property
704837185	20161108	201611	2016	2016.8438	USA	SAN DIEGO	USA																		1	173	173	17	4	-5.0	10	1	10	-10.15625	3	San Diego, California, United States	US	USCA	CA073	32.7153	-117.157	1661377	0								3	San Diego, California, United States	US	USCA		32.7153	-117.157	1661377	20171108014500	http://www.sandiegouniontribune.com/news/courts/sd-me-beltran-guilty-20171107-story.html
704837186	20161108	201611	2016	2016.8438	USA	CALIFORNIA	USA								CHN	CHINA	CHN								1	0862	086	08	2	9.0	8	1	8	2.3121387283237	2	California, United States	US	USCA		36.17	-119.746	CA	1	China	CH	CH		35	105	CH	2	California, United States	US	USCA		36.17	-119.746	CA	20171108014500	https://www.thepacker.com/article/berry-industry-looks-expand-export-options
704837187	20161108	201611	2016	2016.8438	USA	UNITED STATES	USA								CHN	CHINA	CHN								1	0862	086	08	2	9.0	2	1	2	2.3121387283237	2	California, United States	US	USCA		36.17	-119.746	CA	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20171108014500	https://www.thepacker.com/article/berry-industry-looks-expand-export-options
704837188	20161108	201611	2016	2016.8438	USAGOV	HILLARY CLINTON	USA					GOV			GOV	GOVERNOR						GOV			1	051	051	05	1	3.4	8	1	8	2.94117647058823	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	20171108014500	http://nymag.com/daily/intelligencer/2017/11/democrat-ralph-northam-wins-virginia-governors-race.html
704837189	20171009	201710	2017	2017.7644											BUS	COMPANY						BUS			1	042	042	04	1	1.9	1	1	1	1.08695652173914	0								4	Pilbara, Western Australia, Australia	AS	AS08	5536	-21.25	118.3	-1594999	4	Mallina, Western Australia, Australia	AS	AS08	5540	-20.8828	118.039	11456427	20171108014500	http://www.proactiveinvestors.com.au/companies/news/186911
704837190	20171009	201710	2017	2017.7644											BUS	CONGLOMERATE						BUS			1	042	042	04	1	1.9	3	1	3	1.08695652173914	0								4	Mallina, Western Australia, Australia	AS	AS08	5540	-20.8828	118.039	11456427	4	Mallina, Western Australia, Australia	AS	AS08	5540	-20.8828	118.039	11456427	20171108014500	http://www.proactiveinvestors.com.au/companies/news/186911
704837191	20171009	201710	2017	2017.7644											USA	LAS VEGAS	USA								1	040	040	04	1	1.0	3	1	3	-5.14905149051491	0								1	South Korea	KS	KS		37	127.5	KS	1	South Korea	KS	KS		37	127.5	KS	20171108014500	http://www.statesman.com/news/crime--law/trump-says-tougher-gun-laws-not-answer-after-texas-church-shooting/u61VbV9CXMaAHLJVagIPsI/
704837192	20171009	201710	2017	2017.7644											USA	LAS VEGAS	USA								1	040	040	04	1	1.0	1	1	1	-5.14905149051491	0								2	Texas, United States	US	USTX		31.106	-97.6475	TX	1	South Korea	KS	KS		37	127.5	KS	20171108014500	http://www.statesman.com/news/crime--law/trump-says-tougher-gun-laws-not-answer-after-texas-church-shooting/u61VbV9CXMaAHLJVagIPsI/
704837193	20171009	201710	2017	2017.7644	AUS	AUSTRALIA	AUS								BUS	COMPANY						BUS			1	042	042	04	1	1.9	4	1	4	1.08695652173914	4	Mallina, Western Australia, Australia	AS	AS08	5540	-20.8828	118.039	11456427	4	Pilbara, Western Australia, Australia	AS	AS08	5536	-21.25	118.3	-1594999	4	Mallina, Western Australia, Australia	AS	AS08	5540	-20.8828	118.039	11456427	20171108014500	http://www.proactiveinvestors.com.au/companies/news/186911
