705512362	20161110	201611	2016	2016.8493											AUS	ADELAIDE	AUS								1	060	060	06	2	6.0	7	1	7	0.31397174254317	0								4	Western District, Victoria, Australia	AS	AS07	5355	-37.75	142.75	-1608976	4	Western District, Victoria, Australia	AS	AS07	5355	-37.75	142.75	-1608976	20171110003000	http://www.stockjournal.com.au/story/5044160/recently-released-book-looks-into-lost-dynasties/?cs=4894
705512363	20161110	201611	2016	2016.8493											CANLEG	ONTARIO	CAN					LEG			0	020	020	02	1	3.0	3	1	3	3.36448598130841	0								4	Dufferin County, Ontario, Canada	CA	CA08	12681	44.0833	-80.1667	-563830	4	Dufferin County, Ontario, Canada	CA	CA08	12681	44.0833	-80.1667	-563830	20171110003000	http://caledoncitizen.com/?p=25495
705512364	20161110	201611	2016	2016.8493											IGOBUSOPC	OPEC		OPC				IGO	BUS		0	051	051	05	1	3.4	8	1	8	-2.24613944782405	0								4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20171110003000	https://seekingalpha.com/article/4123045-risk-reward-term-structure-crude-oil-market-begs-caution
705512365	20161110	201611	2016	2016.8493											IGOBUSOPC	OPEC		OPC				IGO	BUS		0	051	051	05	1	3.4	2	1	2	-2.24613944782405	0								1	Iran	IR	IR		32	53	IR	1	Iran	IR	IR		32	53	IR	20171110003000	https://seekingalpha.com/article/4123045-risk-reward-term-structure-crude-oil-market-begs-caution
705512366	20161110	201611	2016	2016.8493											IND	HINDUSTAN	IND								1	190	190	19	4	-10.0	3	1	3	-4.43548387096774	0								4	Baikunthapur, Chhattisgarh, India	IN	IN37	70118	23.25	82.55	-2089738	4	Baikunthapur, Chhattisgarh, India	IN	IN37	70118	23.25	82.55	-2089738	20171110003000	http://www.sciencealert.com/elephants-face-horror-abuse-in-india-heartbreaking-photo
705512367	20161110	201611	2016	2016.8493											USAEDU	MIAMI	USA					EDU			1	042	042	04	1	1.9	8	1	8	3.80228136882129	0								3	Miami, Florida, United States	US	USFL	FL086	25.7743	-80.1937	295004	3	Miami, Florida, United States	US	USFL	FL086	25.7743	-80.1937	295004	20171110003000	https://www.bet.com/style/living/2017/11/09/4-year-old-interracial-bffs-go-viral.html
705512368	20161110	201611	2016	2016.8493											VNM	VIET NAM	VNM								1	042	042	04	1	1.9	10	1	10	1.96850393700787	0								4	Manila, Manila, Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	4	Manila, Manila, Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	20171110003000	http://conceptnewscentral.com/index.php/2017/11/10/duterte-moves-increase-trade-vietnam-papua-new-guinea/
705512369	20161110	201611	2016	2016.8493	AUS	AUSTRALIA	AUS																		1	017	017	01	1	0.0	8	1	8	-2.03045685279188	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	0								4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	20171110003000	http://www.theaustralian.com.au/news/latest-news/countdown-begins-to-centenary-of-wwis-end/news-story/bebf1647f7b7fe3f50e4edac981af211?nk=a005e7b99f225b9c01663999fb5d7a6b-1510273066
705512370	20161110	201611	2016	2016.8493	AUS	AUSTRALIA	AUS																		1	017	017	01	1	0.0	2	1	2	-2.03045685279188	1	Germany	GM	GM		51.5	10.5	GM	0								4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	20171110003000	http://www.theaustralian.com.au/news/latest-news/countdown-begins-to-centenary-of-wwis-end/news-story/bebf1647f7b7fe3f50e4edac981af211?nk=a005e7b99f225b9c01663999fb5d7a6b-1510273066
705512371	20161110	201611	2016	2016.8493	AUSLEG	AUSTRALIA	AUS					LEG			AUS	AUSTRALIA	AUS								1	060	060	06	2	6.0	2	1	2	0	4	Adelaide, South Australia, Australia	AS	AS05	5256	-34.9333	138.6	-1555188	4	Adelaide, South Australia, Australia	AS	AS05	5256	-34.9333	138.6	-1555188	4	Adelaide, South Australia, Australia	AS	AS05	5256	-34.9333	138.6	-1555188	20171110003000	http://www.news.com.au/national/breaking-news/xenophon-still-poised-to-win-sa-seat-poll/news-story/cbdafec6742067def10ec10e104aa3af
