703661120	20161103	201611	2016	2016.8301											EGY	ALEXANDRIA	EGY								1	036	036	03	1	4.0	10	1	10	-5.66037735849057	0								4	Alexandria, Al Iskandariyah, Egypt	EG	EG06	61590	31.1981	29.9192	-290263	4	Alexandria, Al Iskandariyah, Egypt	EG	EG06	61590	31.1981	29.9192	-290263	20171103163000	http://rock947.com/news/articles/2017/nov/03/black-veil-brides-unleash-new-song-when-they-call-my-name/
703661121	20161103	201611	2016	2016.8301	CVL	VILLAGE						CVL			REF	ASYLUM SEEKER						REF			1	043	043	04	1	2.8	10	1	10	-4.37158469945355	4	Saint-Martory, Midi-Pyrées, France	FR	FRB3	16301	43.1398	0.93225	-1467257	4	Saint-Martory, Midi-Pyrées, France	FR	FRB3	16301	43.1398	0.93225	-1467257	4	Saint-Martory, Midi-Pyrées, France	FR	FRB3	16301	43.1398	0.93225	-1467257	20171103163000	http://www.france24.com/en/20171103-focus-france-village-martory-asylum-seekers-migrants-photography-willocq-frescoes
703661122	20161103	201611	2016	2016.8301	CVL	IMMIGRANT						CVL			USA	UNITED STATES	USA								1	112	112	11	3	-2.0	5	1	5	1.98347107438016	2	Illinois, United States	US	USIL		40.3363	-89.0022	IL	2	Illinois, United States	US	USIL		40.3363	-89.0022	IL	2	Illinois, United States	US	USIL		40.3363	-89.0022	IL	20171103163000	https://www.csmonitor.com/USA/Politics/2017/1103/Dreamers-face-longer-wait-on-the-ruling-of-their-fate
703661123	20161103	201611	2016	2016.8301	EGY	ALEXANDRIA	EGY																		1	036	036	03	1	4.0	10	1	10	-5.66037735849057	2	Utah, United States	US	USUT		40.1135	-111.854	UT	0								2	Utah, United States	US	USUT		40.1135	-111.854	UT	20171103163000	http://rock947.com/news/articles/2017/nov/03/black-veil-brides-unleash-new-song-when-they-call-my-name/
703661124	20161103	201611	2016	2016.8301	GBR	UNITED KINGDOM	GBR								GBRGOV	BRITAIN	GBR					GOV			1	036	036	03	1	4.0	4	1	4	1.15606936416185	1	United Kingdom	UK	UK		54	-4	UK	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	1	United Kingdom	UK	UK		54	-4	UK	20171103163000	http://indiatoday.intoday.in/story/britians-prince-charles-to-visit-india-next-week/1/1081946.html
703661125	20161103	201611	2016	2016.8301	GBR	LONDON	GBR								GOV	GOVERNMENT						GOV			1	020	020	02	1	3.0	3	1	3	-3.24074074074074	4	Romford, Havering, United Kingdom	UK	UKF6	40110	51.5833	0.2	-2606452	4	Romford, Havering, United Kingdom	UK	UKF6	40110	51.5833	0.2	-2606452	4	Romford, Havering, United Kingdom	UK	UKF6	40110	51.5833	0.2	-2606452	20171103163000	http://www.express.co.uk/news/uk/875149/Jeremy-Corbyn-criticism-World-War-One-Remembrance-Day-Andrew-Rosindell
703661126	20161103	201611	2016	2016.8301	GBR	UNITED KINGDOM	GBR								IND	NEW DELHI	IND								1	036	036	03	1	4.0	4	1	4	1.15606936416185	1	United Kingdom	UK	UK		54	-4	UK	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	1	United Kingdom	UK	UK		54	-4	UK	20171103163000	http://indiatoday.intoday.in/story/britians-prince-charles-to-visit-india-next-week/1/1081946.html
703661127	20161103	201611	2016	2016.8301	GBRGOV	UNITED KINGDOM	GBR					GOV													0	030	030	03	1	4.0	1	1	1	-3.79310344827587	1	Israel	IS	IS		31.5	34.75	IS	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20171103163000	http://www.redpepper.org.uk/balfour100-100-years-of-british-complicity-in-israels-oppression-of-palestinians/
703661128	20161103	201611	2016	2016.8301	GBRGOV	BRITAIN	GBR					GOV			GBR	UNITED KINGDOM	GBR								1	036	036	03	1	4.0	4	1	4	1.15606936416185	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20171103163000	http://indiatoday.intoday.in/story/britians-prince-charles-to-visit-india-next-week/1/1081946.html
703661129	20161103	201611	2016	2016.8301	GBRGOV	BRITAIN	GBR					GOV			GOV	GOVERNMENT						GOV			1	042	042	04	1	1.9	4	1	4	1.15606936416185	1	United Kingdom	UK	UK		54	-4	UK	4	Bhiwandi, Maharashtra, India	IN	IN16	17783	19.3	73.0667	-2091610	1	United Kingdom	UK	UK		54	-4	UK	20171103163000	http://indiatoday.intoday.in/story/britians-prince-charles-to-visit-india-next-week/1/1081946.html
703661130	20161103	201611	2016	2016.8301	GBRGOV	UNITED KINGDOM	GBR					GOV			ISR	ISRAEL	ISR								0	061	061	06	2	6.4	4	1	4	-3.79310344827587	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20171103163000	http://www.redpepper.org.uk/balfour100-100-years-of-british-complicity-in-israels-oppression-of-palestinians/
703661131	20161103	201611	2016	2016.8301	GBRGOV	UNITED KINGDOM	GBR					GOV			ISR	ISRAEL	ISR								0	061	061	06	2	6.4	1	1	1	-3.79310344827587	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20171103163000	http://www.redpepper.org.uk/balfour100-100-years-of-british-complicity-in-israels-oppression-of-palestinians/
