703912767	20161104	201611	2016	2016.8329	FRA	PARIS	FRA								USA	AMERICAN	USA								0	020	020	02	1	3.0	4	1	4	-0.62370062370062	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20171104163000	http://www.ivpressonline.com/news/world/as-us-prepares-to-leave-unesco-envoy-urges-deep-reforms/article_c5fb3910-d5eb-5992-801b-f25954d64dbd.html
703912768	20171005	201710	2017	2017.7534	USA	ATLANTA	USA																		0	046	046	04	1	7.0	10	1	10	-1.43646408839779	2	Rhode Island, United States	US	USRI		41.6772	-71.5101	RI	0								2	Rhode Island, United States	US	USRI		41.6772	-71.5101	RI	20171104163000	http://www.washingtontimes.com/news/2017/nov/4/local-voting-districts-seen-as-crucial-to-election/
703912769	20171028	201710	2017	2017.8164	BGD	BANGLADESH	BGD								CAN	CANADA	CAN								0	036	036	03	1	4.0	2	1	2	-1.25156445556946	1	Bangladesh	BG	BG		24	90	BG	1	Canada	CA	CA		60	-96	CA	1	Bangladesh	BG	BG		24	90	BG	20171104163000	http://gearsofbiz.com/rae-urged-to-pressure-myanmars-neighbours-to-stop-militarys-attacks-on-rohingya/173276
703912770	20171028	201710	2017	2017.8164	CAN	CANADA	CAN								BGD	BANGLADESH	BGD								0	036	036	03	1	4.0	2	1	2	-1.25156445556946	1	Canada	CA	CA		60	-96	CA	1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	20171104163000	http://gearsofbiz.com/rae-urged-to-pressure-myanmars-neighbours-to-stop-militarys-attacks-on-rohingya/173276
703912771	20171028	201710	2017	2017.8164	CAN	CANADA	CAN								BGDGOV	BANGLADESH	BGD					GOV			0	031	031	03	1	5.2	1	1	1	-1.25156445556946	1	Canada	CA	CA		60	-96	CA	1	Bangladesh	BG	BG		24	90	BG	1	Canada	CA	CA		60	-96	CA	20171104163000	http://gearsofbiz.com/rae-urged-to-pressure-myanmars-neighbours-to-stop-militarys-attacks-on-rohingya/173276
703912772	20171028	201710	2017	2017.8164	CAN	CANADA	CAN								BGDGOV	BANGLADESH	BGD					GOV			0	064	064	06	2	7.0	1	1	1	-1.25156445556946	1	Canada	CA	CA		60	-96	CA	1	Bangladesh	BG	BG		24	90	BG	1	Canada	CA	CA		60	-96	CA	20171104163000	http://gearsofbiz.com/rae-urged-to-pressure-myanmars-neighbours-to-stop-militarys-attacks-on-rohingya/173276
703912773	20171028	201710	2017	2017.8164	CAN	CANADA	CAN								GOV	PRIME MINISTER						GOV			0	031	031	03	1	5.2	1	1	1	-1.25156445556946	1	Canada	CA	CA		60	-96	CA	1	Bangladesh	BG	BG		24	90	BG	1	Canada	CA	CA		60	-96	CA	20171104163000	http://gearsofbiz.com/rae-urged-to-pressure-myanmars-neighbours-to-stop-militarys-attacks-on-rohingya/173276
703912774	20171028	201710	2017	2017.8164	CAN	CANADA	CAN								GOV	PRIME MINISTER						GOV			0	064	064	06	2	7.0	1	1	1	-1.25156445556946	1	Canada	CA	CA		60	-96	CA	1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	20171104163000	http://gearsofbiz.com/rae-urged-to-pressure-myanmars-neighbours-to-stop-militarys-attacks-on-rohingya/173276
703912775	20171028	201710	2017	2017.8164	CAN	CANADA	CAN								MMR	MYANMAR	MMR								0	036	036	03	1	4.0	2	1	2	-1.25156445556946	1	Canada	CA	CA		60	-96	CA	1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	20171104163000	http://gearsofbiz.com/rae-urged-to-pressure-myanmars-neighbours-to-stop-militarys-attacks-on-rohingya/173276
703912776	20171028	201710	2017	2017.8164	GOV	PRESIDENT						GOV													1	1053	105	10	3	-5.0	6	1	6	-2	2	Washington, United States	US	USWA		47.3917	-121.571	WA	0								2	Washington, United States	US	USWA		47.3917	-121.571	WA	20171104163000	http://www.newswest9.com/story/36763160/latest-jfk-files-say-no-evidence-found-of-cia-link-to-oswald
703912777	20171028	201710	2017	2017.8164	GOV	PRIME MINISTER						GOV			BGD	BANGLADESH	BGD								0	031	031	03	1	5.2	3	1	3	-1.25156445556946	1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	20171104163000	http://gearsofbiz.com/rae-urged-to-pressure-myanmars-neighbours-to-stop-militarys-attacks-on-rohingya/173276
703912778	20171028	201710	2017	2017.8164	GOV	PRIME MINISTER						GOV			BGD	BANGLADESH	BGD								0	036	036	03	1	4.0	3	1	3	-1.25156445556946	1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	20171104163000	http://gearsofbiz.com/rae-urged-to-pressure-myanmars-neighbours-to-stop-militarys-attacks-on-rohingya/173276
703912779	20171028	201710	2017	2017.8164	GOV	GOVERNMENT						GOV			BUS	BUSINESS						BUS			0	172	172	17	4	-5.0	10	1	10	-5.44323483670296	4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	20171104163000	https://horseedmedia.net/2017/11/04/kenyas-odinga-says-political-crisis-has-ignited-secession-debate/
703912780	20171028	201710	2017	2017.8164	GOV	PRIME MINISTER						GOV			MMR	MYANMAR	MMR								0	031	031	03	1	5.2	3	1	3	-1.25156445556946	1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	20171104163000	http://gearsofbiz.com/rae-urged-to-pressure-myanmars-neighbours-to-stop-militarys-attacks-on-rohingya/173276
703912781	20171028	201710	2017	2017.8164	GOV	PRESIDENT						GOV			USA	UNITED STATES	USA								1	1053	105	10	3	-5.0	2	1	2	-2	2	Washington, United States	US	USWA		47.3917	-121.571	WA	2	Washington, United States	US	USWA		47.3917	-121.571	WA	2	Washington, United States	US	USWA		47.3917	-121.571	WA	20171104163000	http://www.newswest9.com/story/36763160/latest-jfk-files-say-no-evidence-found-of-cia-link-to-oswald
703912782	20171028	201710	2017	2017.8164	LEG	SENATE						LEG			USAGOV	OBAMA	USA					GOV			0	010	010	01	1	0.0	3	1	3	-0.96878363832078	3	San Antonio, Texas, United States	US	USTX	TX029	29.4241	-98.4936	1380951	3	San Antonio, Texas, United States	US	USTX		29.4241	-98.4936	1380951	3	San Antonio, Texas, United States	US	USTX		29.4241	-98.4936	1380951	20171104163000	http://www.theprovince.com/business/mcconnell+says+limited+bill+needed+health+bill+dies/15502770/story.html
703912783	20171028	201710	2017	2017.8164	LEG	SENATE						LEG			USAGOV	OBAMA	USA					GOV			0	010	010	01	1	0.0	2	1	2	-0.96878363832078	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	20171104163000	http://www.theprovince.com/business/mcconnell+says+limited+bill+needed+health+bill+dies/15502770/story.html
703912784	20171028	201710	2017	2017.8164	MED	WEBSITE						MED													1	040	040	04	1	1.0	10	1	10	1.67427701674277	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	0								4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	20171104163000	http://www.theprovince.com/business/vancouver+wants+license+airbnb+hosts/15502808/story.html
703912785	20171028	201710	2017	2017.8164	MMR	MYANMAR	MMR								CAN	CANADA	CAN								0	036	036	03	1	4.0	2	1	2	-1.25156445556946	1	Bangladesh	BG	BG		24	90	BG	1	Canada	CA	CA		60	-96	CA	1	Bangladesh	BG	BG		24	90	BG	20171104163000	http://gearsofbiz.com/rae-urged-to-pressure-myanmars-neighbours-to-stop-militarys-attacks-on-rohingya/173276
703912786	20171028	201710	2017	2017.8164	PRK	NORTH KOREA	PRK								RUSGOV	VLADIMIR PUTIN	RUS					GOV			1	046	046	04	1	7.0	4	1	4	-1.42602495543672	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	20171104163000	http://www.mirror.co.uk/news/world-news/no-cooperation-between-russia-talks-11466890
703912787	20171028	201710	2017	2017.8164	RUSGOV	VLADIMIR PUTIN	RUS					GOV			PRK	NORTH KOREA	PRK								1	046	046	04	1	7.0	4	1	4	-1.42602495543672	4	Punggye-Ri, Hamgyong-namdo, North Korea	KN	KN03	39568	39.9789	127.553	-183105	4	Punggye-Ri, Hamgyong-namdo, North Korea	KN	KN03	39568	39.9789	127.553	-183105	4	Punggye-Ri, Hamgyong-namdo, North Korea	KN	KN03	39568	39.9789	127.553	-183105	20171104163000	http://www.mirror.co.uk/news/world-news/no-cooperation-between-russia-talks-11466890
703912788	20171028	201710	2017	2017.8164	USAGOV	UNITED STATES	USA					GOV													1	1053	105	10	3	-5.0	2	1	2	-2	2	Washington, United States	US	USWA		47.3917	-121.571	WA	0								2	Washington, United States	US	USWA		47.3917	-121.571	WA	20171104163000	http://www.newswest9.com/story/36763160/latest-jfk-files-say-no-evidence-found-of-cia-link-to-oswald
703912789	20171103	201711	2017	2017.8301	HLH	DOCTOR						HLH			JUD	LAWYER						JUD			1	036	036	03	1	4.0	10	1	10	-4.72972972972973	0								0								0								20171104163000	http://jamaica-star.com/article/news/20171104/heart-attack-%E2%80%94-ninja-man-rushed-hospital-while-murder-trial
703912790	20171103	201711	2017	2017.8301	LEG	LEGISLATOR						LEG													0	010	010	01	1	0.0	1	1	1	-3.77833753148615	4	Bihar, Bihar, India	IN	IN34	17615	25.1833	85.5167	-2091797	0								4	Bihar, Bihar, India	IN	IN34	17615	25.1833	85.5167	-2091797	20171104163000	http://www.thenewsminute.com/article/k-taka-congress-leaders-mull-liquor-ban-cm-calls-prohibition-useless-71079
703912791	20171103	201711	2017	2017.8301	LEG	LEGISLATOR						LEG													0	010	010	01	1	0.0	1	1	1	-3.77833753148615	5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	0								4	Bihar, Bihar, India	IN	IN34	17615	25.1833	85.5167	-2091797	20171104163000	http://www.thenewsminute.com/article/k-taka-congress-leaders-mull-liquor-ban-cm-calls-prohibition-useless-71079
703912792	20171104	201711	2017	2017.8329											AUS	AUSTRALIAN	AUS								0	051	051	05	1	3.4	1	1	1	1.32304299889746	0								4	Kirkland Lake, Ontario, Canada	CA	CA08	12685	48.15	-80.0333	-567330	4	Kirkland Lake, Ontario, Canada	CA	CA08	12685	48.15	-80.0333	-567330	20171104163000	http://www.perthnow.com.au/news/western-australia/pilbara-gold-punt-the-key-players-and-discoveries-in-was-new-gold-rush/news-story/169b7508b6ca01a17e8ef5980fbefe73
703912793	20171104	201711	2017	2017.8329											AUS	MURRAY	AUS								0	173	173	17	4	-5.0	4	1	4	-8.77403846153846	0								4	Manchester, Manchester, United Kingdom	UK	UKI2	40118	53.5	-2.21667	-2602512	4	Chedworth, Gloucestershire, United Kingdom	UK	UKE6	40109	51.8	-1.91667	-2592329	20171104163000	http://www.manchestereveningnews.co.uk/news/greater-manchester-news/locked-up-october-drunk-airline-13856640
703912794	20171104	201711	2017	2017.8329											AUS	MURRAY	AUS								0	173	173	17	4	-5.0	2	1	2	-8.77403846153846	0								4	Manchester, Manchester, United Kingdom	UK	UKI2	40118	53.5	-2.21667	-2602512	4	Manchester, Manchester, United Kingdom	UK	UKI2	40118	53.5	-2.21667	-2602512	20171104163000	http://www.manchestereveningnews.co.uk/news/greater-manchester-news/locked-up-october-drunk-airline-13856640
703912795	20171104	201711	2017	2017.8329											AUSBUS	AUSTRALIAN	AUS					BUS			0	051	051	05	1	3.4	6	1	6	1.32304299889746	0								4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	20171104163000	http://www.perthnow.com.au/news/western-australia/pilbara-gold-punt-the-key-players-and-discoveries-in-was-new-gold-rush/news-story/169b7508b6ca01a17e8ef5980fbefe73
703912796	20171104	201711	2017	2017.8329											BHRGOV	BAHRAIN	BHR					GOV			1	043	043	04	1	2.8	2	1	2	3.84615384615385	0								1	Bahrain	BA	BA		26	50.5	BA	1	Bahrain	BA	BA		26	50.5	BA	20171104163000	http://www.4-traders.com/news/Ministry-of-Foreign-affairs-Kingdom-of-Bahrain-Undersecretary-meets-with-State-Minister-for-Foreig--25443019/
703912797	20171104	201711	2017	2017.8329											BLZ	BELIZE	BLZ								0	060	060	06	2	6.0	4	1	4	0.80385852090032	0								1	Belize	BH	BH		17.25	-88.75	BH	1	Belize	BH	BH		17.25	-88.75	BH	20171104163000	http://amandala.com.bz/news/lois-young-parting-shot-on-the-kremandala-show-20th-november-2007/
703912798	20171104	201711	2017	2017.8329											BUS	BUSINESS						BUS			1	036	036	03	1	4.0	2	1	2	2.09371884346959	0								3	Barton County, Kansas, United States	US	USKS		38.4667	-98.767	484974	3	Golden Belt Memorial Park, Kansas, United States	US	USKS		38.4333	-98.785	475645	20171104163000	https://www.greatbendpost.com/2017/11/04/monday-barton-county-commission-meeting-agenda-98/
703912799	20171104	201711	2017	2017.8329											BUS	PRODUCER						BUS			0	042	042	04	1	1.9	1	1	1	-1.15774240231549	0								3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	20171104163000	http://theinterrobang.com/who-is-hosting-saturday-night-live-tonight-november-4-2017/
703912800	20171104	201711	2017	2017.8329											BUS	BUSINESS						BUS			1	046	046	04	1	7.0	10	1	10	2.09371884346959	0								3	Barton County, Kansas, United States	US	USKS		38.4667	-98.767	484974	3	Barton County, Kansas, United States	US	USKS		38.4667	-98.767	484974	20171104163000	https://www.greatbendpost.com/2017/11/04/monday-barton-county-commission-meeting-agenda-98/
703912801	20171104	201711	2017	2017.8329											BUS	COMPANY						BUS			0	060	060	06	2	6.0	6	1	6	-1.68067226890756	0								4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	20171104163000	https://theeagleonline.com.ng/lagos-lawmaker-state-in-face-off-as-government-moves-to-recover-house/
703912802	20171104	201711	2017	2017.8329											BUS	BOSS						BUS			0	173	173	17	4	-5.0	5	1	5	-8.77403846153846	0								4	Wilmslow, Borough of Cheshire East, United Kingdom	UK	UKZ7	40111	53.3333	-2.23333	-2611787	4	Wilmslow, Borough of Cheshire East, United Kingdom	UK	UKZ7	40111	53.3333	-2.23333	-2611787	20171104163000	http://www.manchestereveningnews.co.uk/news/greater-manchester-news/locked-up-october-drunk-airline-13856640
703912803	20171104	201711	2017	2017.8329											CAN	CANADA	CAN								1	036	036	03	1	4.0	4	1	4	0.33112582781457	0								4	Aklavik, Northwest Territories, Canada	CA	CA13	25042	68.2167	-135	-559967	4	Aklavik, Northwest Territories, Canada	CA	CA13	25042	68.2167	-135	-559967	20171104163000	http://www.cbc.ca/news/canada/north/inuvik-aklavik-shingle-point-residential-school-documents-1.4386706
