703950629	20161104	201611	2016	2016.8329											COP	POLICE						COP			1	042	042	04	1	1.9	4	1	4	-5.94594594594595	0								4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20171104210000	http://indianexpress.com/article/cities/delhi/respite-for-traffic-police-as-6-hour-shift-system-kicks-in-4922940/
703950630	20161104	201611	2016	2016.8329	COP	POLICE						COP													1	043	043	04	1	2.8	4	1	4	-5.94594594594595	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	0								4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20171104210000	http://indianexpress.com/article/cities/delhi/respite-for-traffic-police-as-6-hour-shift-system-kicks-in-4922940/
703950631	20161104	201611	2016	2016.8329	COP	POLICE						COP			IND	DELHI	IND								1	042	042	04	1	1.9	1	1	1	-5.94594594594595	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20171104210000	http://indianexpress.com/article/cities/delhi/respite-for-traffic-police-as-6-hour-shift-system-kicks-in-4922940/
703950632	20161104	201611	2016	2016.8329	COP	POLICE						COP			IND	DELHI	IND								1	042	042	04	1	1.9	1	1	1	-5.94594594594595	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20171104210000	http://indianexpress.com/article/cities/delhi/respite-for-traffic-police-as-6-hour-shift-system-kicks-in-4922940/
703950633	20161104	201611	2016	2016.8329	IND	DELHI	IND								COP	POLICE						COP			1	043	043	04	1	2.8	1	1	1	-5.94594594594595	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20171104210000	http://indianexpress.com/article/cities/delhi/respite-for-traffic-police-as-6-hour-shift-system-kicks-in-4922940/
703950634	20161104	201611	2016	2016.8329	IND	DELHI	IND								COP	POLICE						COP			1	043	043	04	1	2.8	1	1	1	-5.94594594594595	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20171104210000	http://indianexpress.com/article/cities/delhi/respite-for-traffic-police-as-6-hour-shift-system-kicks-in-4922940/
703950635	20161104	201611	2016	2016.8329	IND	MUMBAI	IND								INDCOP	DELHI	IND					COP			1	042	042	04	1	1.9	2	1	2	-5.94594594594595	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20171104210000	http://indianexpress.com/article/cities/delhi/respite-for-traffic-police-as-6-hour-shift-system-kicks-in-4922940/
703950636	20161104	201611	2016	2016.8329	INDCOP	DELHI	IND					COP			IND	MUMBAI	IND								1	043	043	04	1	2.8	2	1	2	-5.94594594594595	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20171104210000	http://indianexpress.com/article/cities/delhi/respite-for-traffic-police-as-6-hour-shift-system-kicks-in-4922940/
703950637	20161104	201611	2016	2016.8329	REL	RELIGION																			0	071	071	07	2	7.4	3	1	3	-1.17456460105305	2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	0								2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	20171104210000	https://www.getreligion.org/?offset=1509553320958
703950638	20161104	201611	2016	2016.8329	REL	RELIGION																			0	1721	172	17	4	-5.0	3	1	3	-1.17456460105305	2	Colorado, United States	US	USCO		39.0646	-105.327	CO	0								2	Colorado, United States	US	USCO		39.0646	-105.327	CO	20171104210000	https://www.getreligion.org/?offset=1509553320958
703950639	20171005	201710	2017	2017.7534											USA	PORTLAND	USA								1	036	036	03	1	4.0	2	1	2	1.57894736842106	0								3	Concordia University, Oregon, United States	US	USOR		45.5697	-122.637	1119194	3	Portland, Oregon, United States	US	USOR	OR051	45.5235	-122.676	1136645	20171104210000	https://entomologytoday.org/author/gwenpearson62/
703950640	20171005	201710	2017	2017.7534											USA	PORTLAND	USA								1	036	036	03	1	4.0	8	1	8	1.57894736842106	0								3	Portland, Oregon, United States	US	USOR	OR051	45.5235	-122.676	1136645	3	Portland, Oregon, United States	US	USOR	OR051	45.5235	-122.676	1136645	20171104210000	https://entomologytoday.org/author/gwenpearson62/
703950641	20171005	201710	2017	2017.7534	EUR	EUROPEAN	EUR								USAGOV	OBAMA	USA					GOV			1	120	120	12	3	-4.0	3	1	3	-5.14541387024608	1	Russia	RS	RS		60	100	RS	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	1	China	CH	CH		35	105	CH	20171104210000	http://www.tribuneindia.com/news/world/iran-displays-missile-calls-us-president-trump-crazy/492781.html
