702775863	20161101	201611	2016	2016.8247											INDGOVAGR	VENKAIAH NAIDU	IND					GOV	AGR		1	043	043	04	1	2.8	8	1	8	9.04255319148939	0								4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20171101000000	http://indiaeducationdiary.in/india-today-group-honours-16-cleanliness-warriors-safaigiri-awards-2017/
702775864	20161101	201611	2016	2016.8247											USA	UNITED STATES	USA								1	040	040	04	1	1.0	4	1	4	1.0178117048346	0								2	South Dakota, United States	US	USSD		44.2853	-99.4632	SD	2	South Dakota, United States	US	USSD		44.2853	-99.4632	SD	20171101000000	https://www.inquisitr.com/4591004/is-chelsea-houska-ready-to-get-pregnant-with-baby-no-3/
702775865	20161101	201611	2016	2016.8247	BUS	COMPANY						BUS			GHA	GHANAIAN	GHA								1	111	111	11	3	-2.0	3	1	3	6.82819383259912	1	Ghana	GH	GH		8	-2	GH	1	Ghana	GH	GH		8	-2	GH	1	Ghana	GH	GH		8	-2	GH	20171101000000	https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Trade-Ministry-to-support-local-retailers-595946
702775866	20161101	201611	2016	2016.8247	BUS	COMPANY						BUS			USA	UNITED STATES	USA								0	020	020	02	1	3.0	8	1	8	2.81055108522157	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	20171101000000	http://www.bendbulletin.com/home/5713814-151/humm-kombucha-joining-deschutes-in-roanoke
702775867	20161101	201611	2016	2016.8247	EDUEDU	SCHOOL						EDU	EDU		EDU	SCHOOL						EDU			1	110	110	11	3	-2.0	10	1	10	-2.16216216216216	0								0								0								20171101000000	http://wavy.com/2017/10/31/chesapeake-parents-say-they-will-keep-fighting-school-redistricting/
702775868	20161101	201611	2016	2016.8247	EUR	EUROPE	EUR																		0	190	190	19	4	-10.0	10	1	10	-9.41176470588235	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	0								3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20171101000000	http://www.theedgemarkets.com/article/eight-dead-truck-attack-manhattan-bike-path-suspect-arrested
702775869	20161101	201611	2016	2016.8247	FRA	FRENCH	FRA								MED	MEDIA						MED			1	051	051	05	1	3.4	1	1	1	-0.8	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20171101000000	http://www.latrobevalleyexpress.com.au/story/5027075/justin-trudeau-dressed-up-as-clark-kent-in-question-time/
702775870	20161101	201611	2016	2016.8247	GOV	MINIST						GOV			INDGOVAGR	VENKAIAH NAIDU	IND					GOV	AGR		1	043	043	04	1	2.8	8	1	8	9.04255319148939	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20171101000000	http://indiaeducationdiary.in/india-today-group-honours-16-cleanliness-warriors-safaigiri-awards-2017/
702775871	20161101	201611	2016	2016.8247	INDGOVAGR	VENKAIAH NAIDU	IND					GOV	AGR												1	042	042	04	1	1.9	8	1	8	9.04255319148939	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	0								4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20171101000000	http://indiaeducationdiary.in/india-today-group-honours-16-cleanliness-warriors-safaigiri-awards-2017/
702775872	20161101	201611	2016	2016.8247	INDGOVAGR	VENKAIAH NAIDU	IND					GOV	AGR		GOV	MINIST						GOV			1	042	042	04	1	1.9	8	1	8	9.04255319148939	4	Hindustan, India (general), India	IN	IN00	17857	28	76	-3414754	4	Hindustan, India (general), India	IN	IN00	17857	28	76	-3414754	4	Hindustan, India (general), India	IN	IN00	17857	28	76	-3414754	20171101000000	http://indiaeducationdiary.in/india-today-group-honours-16-cleanliness-warriors-safaigiri-awards-2017/
