705499858	20071113	200711	2007	2007.8575											USA	WASHINGTON	USA								1	046	046	04	1	7.0	10	1	10	-1.70940170940171	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20171110000000	http://www.businessinsider.com/republican-retirements-creates-new-opportunities-for-freedom-caucus-2017-11
705499859	20071113	200711	2007	2007.8575	USA	WASHINGTON	USA																		1	046	046	04	1	7.0	10	1	10	-1.70940170940171	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	0								2	Iowa, United States	US	USIA		42.0046	-93.214	IA	20171110000000	http://www.businessinsider.com/republican-retirements-creates-new-opportunities-for-freedom-caucus-2017-11
705499860	20161110	201611	2016	2016.8493											CAN	CANADA	CAN								1	045	045	04	1	5.0	2	1	2	0	0								4	Moncton, New Brunswick, Canada	CA	CA04	12606	46.0833	-64.7667	-569498	4	Moncton, New Brunswick, Canada	CA	CA04	12606	46.0833	-64.7667	-569498	20171110000000	http://www.macleans.ca/culture/why-granta-dedicated-an-entire-issue-to-canadian-writing/
705499861	20161110	201611	2016	2016.8493											CAN	CANADA	CAN								1	110	110	11	3	-2.0	1	1	1	0	0								4	Montreal, Quebec, Canada	CA	CA10	12713	45.5	-73.5833	-569541	1	France	FR	FR		46	2	FR	20171110000000	http://www.macleans.ca/culture/why-granta-dedicated-an-entire-issue-to-canadian-writing/
705499862	20161110	201611	2016	2016.8493											USA	UNITED STATES	USA								0	1123	112	11	3	-2.0	1	1	1	-6.20842572062084	0								3	Los Angeles, California, United States	US	USCA		34.0522	-118.244	1662328	3	Los Angeles, California, United States	US	USCA		34.0522	-118.244	1662328	20171110000000	https://learningenglish.voanews.com/a/actor-keven-spacey-removed-from-movie/4108330.html
705499863	20161110	201611	2016	2016.8493											USA	UNITED STATES	USA								0	190	190	19	4	-10.0	4	1	4	1.51515151515152	0								3	Owens River, California, United States	US	USCA		36.5419	-117.979	272822	3	Owens River, California, United States	US	USCA		36.5419	-117.979	272822	20171110000000	http://www.sierrawave.net/show-support-owens-river-water-trail/
705499864	20161110	201611	2016	2016.8493	AUTEDU	VIENNA	AUT					EDU			AUT	AUSTRIA	AUT								1	013	013	01	1	0.4	8	1	8	-0.17035775127769	4	Vienna, Wien, Austria	AU	AU09	5672	48.2	16.3667	-1995499	4	Vienna, Wien, Austria	AU	AU09	5672	48.2	16.3667	-1995499	4	Vienna, Wien, Austria	AU	AU09	5672	48.2	16.3667	-1995499	20171110000000	https://www.msn.com/en-us/news/world/austrias-far-right-picks-different-flower-for-parliaments-opening-session/ar-BBEMUyq
705499865	20161110	201611	2016	2016.8493	BGD	BANGLADESH	BGD								CANEDU	CANADA	CAN					EDU			0	010	010	01	1	0.0	6	1	6	1.33858267716535	1	Bangladesh	BG	BG		24	90	BG	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	20171110000000	http://www.navhindtimes.in/flipping-the-traditional-ways-of-learning/
705499866	20161110	201611	2016	2016.8493	BGD	BANGLADESH	BGD								CANEDU	CANADA	CAN					EDU			0	010	010	01	1	0.0	2	1	2	1.33858267716535	1	Canada	CA	CA		60	-96	CA	1	Bangladesh	BG	BG		24	90	BG	1	Singapore	SN	SN		1.366667	103.8	SN	20171110000000	http://www.navhindtimes.in/flipping-the-traditional-ways-of-learning/
705499867	20161110	201611	2016	2016.8493	BGD	BANGLADESH	BGD								CANEDU	CANADA	CAN					EDU			0	010	010	01	1	0.0	2	1	2	1.33858267716535	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	20171110000000	http://www.navhindtimes.in/flipping-the-traditional-ways-of-learning/
705499868	20161110	201611	2016	2016.8493	BGD	BANGLADESH	BGD								CANEDU	CANADA	CAN					EDU			0	043	043	04	1	2.8	6	1	6	1.33858267716535	1	Bangladesh	BG	BG		24	90	BG	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	20171110000000	http://www.navhindtimes.in/flipping-the-traditional-ways-of-learning/
